[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 谈了Physical Intelligence派的研究科学家科里一鸣
[00:00:34] 这是一家在硅谷做机器人大脑的备受瞩目的实验室
[00:44:45] 就相当于是
[00:44:46] 如果我们人在往前
[00:44:47] 行走的时候
[00:44:48] 你就会先撞到玻璃
[00:44:49] 嗯
[00:44:50] 然后才有猫
[00:44:51] 所以说我们会试着把那个玻璃门拉开
[00:44:54] 拉开的过程中
[00:44:55] 你就会看到那个Depth出来的那个猫
[00:44:58] 就逐渐的从那个门后面出现了
[00:45:00] 嗯
[00:45:01] 因为玻璃被拉开了
[00:45:03] 然后就可以看到猫了
[00:45:04] 嗯
[00:45:04] 但是从语义的理解的角度
[00:45:06] 其实那个猫一直在
[00:45:09] 就数字世界它只需要知道
[00:45:10] 那有个猫就好了
[00:45:12] 对
[00:45:12] 但是物理世界你就是你还需要知道
[00:45:15] 前面有一个门
[00:45:16] 对
[00:45:16] 它对位置的感知
[00:45:17] 在
[00:45:17] 数字世界里是很弱的
[00:45:19] 对
[00:45:19] 因为它不至于说我走一走会撞到
[00:45:22] 对
[00:45:22] 它没有这样的问题
[00:45:23] 对对对
[00:45:23] 其实就是这
[00:45:24] 我觉得这是一个非常好的例子
[00:45:26] 就是你能看到
[00:45:27] 但你摸不到
[00:45:28] 嗯
[00:45:29] 能看到是语义理解
[00:45:30] 摸不到是空间感知
[00:45:31] 嗯
[00:45:32] 对
[00:45:33] 所以说这是我们第一天发布的
[00:45:36] 两个模型
[00:45:37] 就是Viren和Depth
[00:45:39] 嗯
[00:45:39] 对
[00:45:39] 然后
[00:45:40] 呃
[00:45:40] 它们两个关系就是Viren是Depth的预训练
[00:45:43] 就是我们Depth之前用的预训练是Deno嘛
[00:45:45] 现在我们没用Deno了
[00:45:46] 然后我们是
[00:45:47] 搞了一套新的预训练
[00:45:48] 然后新的预训练
[00:45:50] 就是你可以理解成
[00:45:50] 它是对视觉本身的一个很好的理解
[00:45:54] 这是预训练做的事情
[00:45:56] 然后Depth是它的下游
[00:45:58] 就是你感
[00:45:58] 你从视觉感知
[00:46:00] 怎么变到空间感知
[00:46:01] 嗯
[00:46:02] 对
[00:46:02] 就是相当于把从图像变成三维
[00:46:04] 大概
[00:46:05] 大概是这么一个关系
[00:46:06] 那LLM跟它们有关系吗
[00:46:08] 呃
[00:46:08] 没有
[00:46:08] 这个也不需要基于LLM对吧
[00:46:10] 对
[00:46:10] 这个是完全
[00:46:11] 完全从视觉出发去做的训练
[00:46:14] 就是一直比较细确的讲
[00:46:16] 我们关注的这三个事儿
[00:46:17] 就是看得更清楚
[00:46:19] 想得更明白
[00:46:20] 干得更利索
[00:46:21] 嗯
[00:46:21] 就是机器人
[00:46:22] 我们是觉得就这么三个
[00:46:23] 三个事儿
[00:46:24] 第一个是看得更清楚
[00:46:25] 对
[00:46:26] 所以说我们先解决了
[00:46:27] 看得更清楚的问题
[00:46:28] 然后看得更清楚
[00:46:29] 这个事情本身是不需要语言的
[00:46:31] 就是纯视觉
[00:46:32] 视觉原生的一个预训练
[00:46:36] 对
[00:46:36] 然后这是第一天要做的
[00:46:38] 然后第二天我们其实发布了
[00:46:40] 这个VLA嘛
[00:46:41] 然后VLA做了个升级
[00:46:43] 然后我刚刚说VLA这次的升级
[00:46:45] 可能主要是从落地的角度
[00:46:47] 我们发现了一些
[00:46:47] 问题
[00:46:48] 怎么把这个数据变得质量更高
[00:46:50] 然后怎么让构型变得更多
[00:46:52] 然后支持的
[00:46:53] 支持的任务可能变得更复杂
[00:46:55] 因为我们能支持头腰这些东西之后
[00:46:57] 它可能能做的事情就变多了
[00:46:59] 对吧
[00:46:59] 对
[00:46:59] 然后
[00:47:00] 然后VLA这个事情
[00:47:02] 我觉得
[00:47:02] 可能对整个零波来说
[00:47:05] 它最大最大的价值
[00:47:06] 就是把数据要弄明白
[00:47:09] 而且把数据弄明白的是
[00:47:11] 从产业的视角
[00:47:12] 把产业需要的数据
[00:47:14] 或者说把落地需要的数据
[00:47:15] 弄明白
[00:47:17] 对
[00:47:18] 这是整个VLA这次的升级
[00:47:20] 然后刚才VLA讲的也比较多
[00:47:21] 所以像比如说
[00:47:23] 有一些模型公司
[00:47:26] 就是以research为主导的公司
[00:47:28] 它的数据可能会倾向于
[00:47:31] 侦缉和仿真数据混合来用
[00:47:33] 在你看来
[00:47:35] 是不是它离侦射场景是有距离的
[00:47:37] 这个可能是不同公司选择的策略不一样
[00:47:41] 因为如果它做的
[00:47:43] 比如说它选择的场景
[00:47:44] 是仿真可以做的比较好的
[00:47:45] 那我觉得从仿真上拿数据
[00:47:47] 没有任何问题
[00:47:48] 对
[00:47:49] 然后但是我们
[00:47:50] 我们还是说
[00:47:51] 我们想要做通用的大脑
[00:47:53] 然后也是就跨本体跨任务
[00:47:55] 所以我们希望
[00:47:56] 它的能支持的任务
[00:47:58] 其实是越多越复杂越好
[00:47:59] 对
[00:48:00] 所以说可能
[00:48:01] 现在对于这种通用任务来说
[00:48:05] 仿真可能的覆盖率没有那么高
[00:48:06] 所以可能我们没有选择仿真这条路
[00:48:10] 然后更多的可能
[00:48:11] 还是希望从真机出发去做
[00:48:13] 对
[00:48:13] 反正就是说
[00:48:16] 第一
[00:48:16] 就是第一天
[00:48:17] 那么我们就想了解
[00:48:17] 我们解决了看得更清楚的问题
[00:48:19] 然后第二天的模型
[00:48:21] 其实就是VLA
[00:48:22] 我们是解决了数据的问题
[00:48:24] 然后其实接下来的
[00:48:27] 刚才说了三个模型
[00:48:28] 我们还有三个模型
[00:48:29] 这三个模型
[00:48:30] 其实我更想放在一起说
[00:48:32] 就是一个是video
[00:48:34] 一个是word
[00:48:36] 然后还有一个就是
[00:48:37] 我们一直讲的VA
[00:48:38] 或者说现在外面会讲WM
[00:48:41] 对
[00:48:41] 就是我们
[00:48:41] 但我还是会以VA来说
[00:48:43] 因为我们的命名是VA
[00:48:45] 对
[00:48:45] 我们这三个东西放在一起说
[00:48:47] 然后这个地方
[00:48:49] 我记得call back一下
[00:48:50] 我们刚才说的一个点
[00:48:51] 就是我们在上一版1.0的时候发现
[00:48:54] 很多数字世界的模型的
[00:48:57] 开发的动机
[00:49:00] 跟物理世界的需求是不匹配的
[00:49:02] 对
[00:49:03] 然后其实有几个明显能感受到不匹配的点
[00:49:06] 第一个
[00:49:07] 数字世界的
[00:49:09] 尤其是视频生成这一块
[00:49:11] 或者说大家现在比较喜欢讲这个世界模型
[00:49:13] 第一个点
[00:49:15] 是数字世界
[00:49:16] 在做这个
[00:49:17] 视频生成之前
[00:49:18] 会做一个这个语义的压缩
[00:49:20] 会做一个这个视觉的压缩
[00:49:22] 因为它要求最后生成的图像的质量要很高
[00:49:26] 对吧
[00:49:27] 然后那它没办法做的话
[00:49:29] 它一定要先做一次压缩
[00:49:30] 但它这个压缩其实就是
[00:49:32] 或者说大家现在比较常用的
[00:49:35] 开源能拿到的这个压缩
[00:49:36] 它就是只做了一个单纯的压缩
[00:49:39] 这个压缩过程
[00:49:40] 没有
[00:49:41] 就是这个压缩过程本身
[00:49:43] 对后面的学习
[00:49:45] 没有任何帮助
[00:49:47] 没有任何联系
[00:49:48] 它就是单纯把一个
[00:49:50] 假如说就把一个
[00:49:51] 假如说是100兆大小的东西
[00:49:55] 然后我先把它变成30兆
[00:49:56] 让它更好学
[00:49:56] 可以大概这么理解吧
[00:49:58] 然后我们这一次呢
[00:50:00] 是为了让机器人在后面的学习
[00:50:03] 就是理解
[00:50:04] 就是学习的过程中
[00:50:05] 能够更好的去理解语义和动作本身
[00:50:08] 所以说我们在训练这个压缩的
[00:50:11] 这个就是视觉压缩的这个模型的时候
[00:50:14] 我们就加入了语义和动作的对齐
[00:50:17] 就是说
[00:50:18] 换句话说
[00:50:19] 这个压缩
[00:50:20] 这个压缩的
[00:50:21] 或者我们叫编码器也好
[00:50:23] 它在编码的过程中
[00:50:24] 就可以感知到一些语义信息和动作信息
[00:50:29] 有了这样的一个编码器之后
[00:50:32] 它在后面基于这个编码器编出来的那些个东西
[00:50:35] 再去学生成的时候
[00:50:36] 它就更好的能够把语义跟动作这个东西
[00:50:39] 理解
[00:50:39] 就是理解的更好
[00:50:40] 这是一个
[00:50:42] 这是一个点
[00:50:43] 然后第二个点
[00:50:45] 也是就是数字世界
[00:50:47] 跟物理世界不太一样的地方
[00:50:48] 就是
[00:50:49] 其实数字世界不是很关心效率
[00:50:53] 因为就是举个例子
[00:50:56] 就是大家说现在比较常见的
[00:50:58] 就是文生视频
[00:50:59] 我给他一段话
[00:51:00] 然后他给我会给我一段视频
[00:51:02] 然后其实中间可能
[00:51:03] 比如说你生成一个30秒的视频
[00:51:05] 用户可以等30秒
[00:51:06] 就是或者说等10秒
[00:51:09] 等个20秒
[00:51:09] 那还是希望他能越来越快的
[00:51:11] 对你肯定是希望快
[00:51:12] 但是我的意思
[00:51:14] 他肯定是有可以等
[00:51:15] 然后等你整个视频一起生成完
[00:51:17] 但是机器人在执行的过程中
[00:51:20] 是没办法等的
[00:51:21] 他是及时的
[00:51:21] 对他一定要实时
[00:51:23] 一定是实时的
[00:51:24] 对
[00:51:25] 然后所以说基于这个
[00:51:26] 他就会诞生两个点
[00:51:28] 第一个
[00:51:29] 你的模型效率是不是能做得更快
[00:51:31] 这个其实从这个点上
[00:51:33] 对
[00:51:34] 就是因为现在大家可能用万象会用的比较多
[00:51:36] 然后万象其实是个dance的模型
[00:51:38] 就是他没有用
[00:51:40] 没有用moe这种形式
[00:51:42] 就是比如说他是一个14B的模型
[00:51:44] 他在推理的时候激活就是14B
[00:51:46] 对
[00:51:46] 然后
[00:52:17] 雖然未来可以看到历史
[00:52:18] 但是历史看不到未来
[00:52:19] 时间是单向流逝
[00:52:20] 对
[00:52:21] 但是因为数字世界
[00:52:23] 你说生成模型的时候
[00:52:24] 其实它可以是双向的
[00:52:26] 对吧
[00:52:27] 因为我就是你是给他一段话
[00:52:28] 然后你等一会
[00:52:29] 你等的过程中
[00:52:30] 其实就相当于是你那段话的开始跟结局
[00:52:33] 其实你都知道了
[00:52:35] 然后他给你一段完整的视频就好了
[00:52:37] 他不用说在这个过程中
[00:52:39] 只能往前走
[00:52:41] 这两个点是物理世界对
[00:52:44] 提出的一个比较新的一个
[00:52:47] 需求
[00:52:47] 但同时也不是说提了新需求之后
[00:52:50] 他就这个东西会变得更难
[00:52:52] 但物理世界也有一些可以被做一些取舍的东西
[00:52:56] 就是可以被设计一些东西
[00:52:58] 最核心的就是画质
[00:53:00] 因为数字世界肯定大家会要求高清
[00:53:02] 然后要求对吧
[00:53:03] 帧率要高
[00:53:04] 然后这个东西看起来欣赏起来才好
[00:53:06] 那种生成主要是这样
[00:53:08] 对其实不同生物之间的视觉能看到多清晰是不一样
[00:53:13] 但是他也可以在地球上生活
[00:53:15] 对所以嘛就是物理世界
[00:53:17] 其实就是就是换句话说
[00:53:18] 你可以生成的有点马赛克
[00:53:20] 没有关系的
[00:53:20] OK或者说就是画质不高
[00:53:22] 没关系的
[00:53:23] 然后因为因为什么
[00:53:24] 因为我们还有摄像头啊
[00:53:26] 就是你生成的不高
[00:53:27] 但是你能看到
[00:53:28] 所以这个这个没关系的
[00:53:30] 对然后就是就是基于刚才我说的
[00:53:32] 他有两提出两个新的需求
[00:53:33] 但是又可以舍弃掉画质本身
[00:53:36] 所以说我们在这方面又做了两个工作
[00:53:40] 一个就是我们说的video
[00:53:42] 是我们也是把它开源出来啊
[00:53:44] 就是灵暴video本身就是一个
[00:53:47] moe架构
[00:53:48] 原生moe架构的一个模型
[00:53:50] 他有一个
[00:53:51] 其实moe这个事情啊
[00:53:53] 就是大家可能听的会比较多
[00:53:56] 好像说就是那那就把一个dance的
[00:53:59] 变成一个不用每次都激活
[00:54:01] 我就是比如说三个参数激活一个
[00:54:04] 就类似这种不就好了吗
[00:54:05] 但其实真的想把moe训明白
[00:54:08] 还是有难度的
[00:54:09] 因为在训练过程中
[00:54:11] 你要控制每一次的生成激活的比例
[00:54:14] 是他要均衡
[00:54:15] 就比如说你一共有
[00:54:17] 一共有30个参数
[00:54:18] 然后你每次都激活那10个
[00:54:21] 这有20个参数就基本上不被激活到
[00:54:24] 这个事情是不可以接受的
[00:54:26] 因为如果是这样的话
[00:54:27] 其实跟10b的dance
[00:54:28] 或者说10个参数的dance模型就没有区别了
[00:54:31] 我们既然是想让他就是想让他就是吸输化
[00:54:36] 那你要让他吸输的均匀
[00:54:38] 如何能让一个模型就是moe的训练
[00:54:42] 就是均匀的把每个每个参数都就是
[00:54:47] 就是怎么说呢
[00:54:48] 以同样的概率被激活
[00:54:50] 然后把它训好
[00:54:51] 这个东西是其实是一个技术问题
[00:54:54] 对它不是一个一元度问题
[00:54:56] 不是说我想让他少激活点就激活点
[00:54:58] 少激活点
[00:55:00] 对所以说我们在video上就是
[00:55:03] 因为我们自己从头去嘛
[00:55:05] 把这个moe这个东西
[00:55:07] 我觉得应该算是先是堂通了吧
[00:55:11] 这个中间失败了没有
[00:55:13] 失败了很多次应该是把就是整个训
[00:55:17] 呃失败了很多次应该是把就是整个训呃失败了很多次应该是把就是整个训呃失败了很多次应该是把就是整个训呃失败了很多次应该是把就是整个训呃
[00:55:17] 因为我们也想说训一个能能有训练鸡模的能力嘛
[00:55:21] 然后其实把整个鸡模训起来
[00:55:24] 整个info打起来数据弄起来
[00:55:25] 其实这些都是一些基本上可以理解成是确定性球技
[00:55:29] 就是都知道
[00:55:30] 可能是没那么多经验
[00:55:32] 但你反正就是就是做就好了
[00:55:34] 其中花的最大的一个部分就是moe
[00:55:37] moe应该至少光训moe想训明白
[00:55:40] 可能就花了两个月的时间
[00:55:41] 两个月对
[00:55:42] 然后就是不然的话就你一直发现
[00:55:45] 他想就是他虽然虽然
[00:55:47] 叫moe但跟你最后期待的moe是不一样的moe
[00:55:50] 对所以我说就是moe训把moe训好是一个能力问题
[00:55:55] 他不是一个态度问题
[00:55:57] 对所以说后来提升了哪些能力啊
[00:55:59] 呃其实失败了几次
[00:56:01] 呃中间失败因为两个月嘛
[00:56:04] 我估计失败个几十次应该是有的几十次
[00:56:07] 对因为但失败他不是说你训到后面才失败
[00:56:10] 你训一训就会发现跟你想要的不一样
[00:56:12] 就是有些参参数激活的不均匀不平衡
[00:56:15] 对然后
[00:56:16] 呃
[00:56:17] moe这个这个事情我觉得其实最后最最大的核心
[00:56:20] 就是怎么能够让你的这些个所谓的专家
[00:56:24] 被等概率的激活
[00:56:26] 嗯然后这个里面可能就涉及到
[00:56:29] 呃从你这个训练的时候
[00:56:31] 这个loss function的一些选择呀
[00:56:33] 然后从你这个sampling的一些策略就是
[00:56:36] 呃对吧
[00:56:36] 这些或者说给他加一些证则呀之类的
[00:56:39] 就是加了各种各样的东西
[00:56:41] 然后现在是我们可以保证moe这个东西
[00:56:44] 呃基本上这个技术本身
[00:56:46] 可以稳定的训练吧
[00:56:48] 就哪怕说换一个框架
[00:56:50] 这个技术因为moe本身是个技术嘛
[00:56:52] 西数化嘛
[00:56:53] 这个应该是在这方面应该是
[00:56:56] 嗯算是有了一个比较大的一个提升
[00:56:58] 嗯对然后这是说一个一个技术点
[00:57:01] 然后另外一个技术点就是说时间不能倒流这个事情
[00:57:05] 时间不能倒流就是我们要求这个整个的attention
[00:57:09] 其实都是单向的
[00:57:10] 因为因为attention就是或者说数字世界
[00:57:13] 大家常用的模型基本上都是双向的
[00:57:15] 因为他要求
[00:57:16] 要求要求画质嘛
[00:57:17] 你双向肯定是就是他你中间的连接越多
[00:57:20] 其实你的计算就越大
[00:57:22] 计算越大肯定效果就越好
[00:57:23] 嗯这是一定的
[00:57:24] 但是我们想把它变成单向的
[00:57:27] 这在这个地方应该是从
[00:57:30] 1.0的时候就希望想把它变成单向的
[00:57:34] 然后又花了可能在这个事情上
[00:57:36] 应该也是花了三四个月的时间
[00:57:39] 能够做到从头开始就单向训练
[00:57:43] 嗯就是他还有一种另一种选择
[00:57:45] 其实可以说我先有一个双向的
[00:57:46] 然后把这个双向的变成单向的
[00:57:49] 这个过程中我们会发现
[00:57:51] 会有一个很大的问题
[00:57:52] 就是很多模型
[00:57:54] 预训练模型里面学到的一些知识
[00:57:57] 比如说就是对文字的一些理解
[00:57:59] 它其实是隐含在它的双向的
[00:58:01] 这个attention里面的
[00:58:03] 就是一些knowledge是隐含在这里面的
[00:58:05] 嗯对然后你强行把它变成单向的时候
[00:58:08] 单向这个事情是跑通了
[00:58:10] 但是那些knowledge有些就遗忘了
[00:58:13] 就相当于预训练作废了
[00:58:14] 嗯
[00:58:15] 嗯
[00:58:15] 它作废了一个直观表现
[00:58:17] 就是你之前可以跟他说一百句话
[00:58:19] 每一句话他都给你转移成一个比较好的视频
[00:58:22] 但是现在你可能再跟他说一百句话
[00:58:24] 可能只有百分之二三十的
[00:58:26] 能转移成好的视频
[00:58:27] 剩下的七十句话他已经不理解说的是什么
[00:58:29] 因为那个知识被破坏了
[00:58:32] 对所以说在把双向变单向这个事情上
[00:58:35] 我们也算是做了一个比较大的决定
[00:58:39] 果断的舍弃了双向变单向这个路线
[00:58:42] 从最开始设计的时候就是单向的
[00:58:44] video这个工作解决了moe的问题
[00:58:47] 就是从头训练moe
[00:58:49] 然后我们就是我们具备了这种训练moe的能力
[00:58:52] 然后word的那个工作其实证明了
[00:58:54] 我们也可以把单向的attention这个训练这个事情也搞定了
[00:58:59] 然后把这些技术最终我们全部应用到了巨神模型上
[00:59:05] 嗯
[00:59:05] 也就是诞生了我们最后最后一天发布的那个模型
[00:59:09] 就是va2.0
[00:59:11] 这个模型是最关键的对吧
[00:59:12] 呃对它是整个所有的技术拼到一起
[00:59:14] 嗯对它是整个所有的技术拼到一起
[00:59:14] 的一个一个模型
[00:59:16] 嗯对一个集合它是
[00:59:17] 对它就是因为呃就相当于那个video是我们证明了moe这个事情
[00:59:23] 就是我们先把这个路堂通了
[00:59:24] 然后word是把causal pre-train这个事情堂通了
[00:59:28] 然后我们把这两个技术融合在了一起
[00:59:30] 再加上我刚才说我们压缩的过程中也做了一些改进
[00:59:33] 把这三个技术点放到一起
[00:59:35] 有了一个面向机器人
[00:59:38] 纯面向机器人控制的一个原生的机模
[00:59:43] 这个机模从
[00:59:44] 每一个参数
[00:59:46] 都是
[00:59:48] 完全随机化开始训的
[00:59:49] 然后再包括这个
[00:59:52] 呃机器人本身采的一些数据
[00:59:54] 我刚才说vla不是我们搞了很多真机的数据啊
[00:59:57] 我们把这些数据都放到了这里面
[01:00:00] 然后去从头训练了一个为了巨声设计的一个机模
[01:00:06] 嗯这个是我觉得可能是呃这次发布里面我们一直讲巨声原生巨声原生一个概念
[01:00:13] 可能这就是
[01:00:14] 我觉得这个东西就是我们想说的巨声原生本身
[01:00:18] 我不知道在这个这六个模型里面对哪一部分会用到llm
[01:00:24] 呃有一种说法是说嗯就是llm如果是大脑的话
[01:00:27] 其实机器人好多都在训练小脑
[01:00:29] 那你觉得你们这个巨声原生的模型它到底是大脑还是小脑的部分
[01:00:35] 外面每个人对这个大小脑的定义是不一样的啊
[01:00:38] 在一些简单指令的执行上
[01:00:40] 林博解决的更多是这个这个层面
[01:00:43] 比如说就你给他说一句话
[01:00:44] 然后他帮你把这个事做了
[01:00:46] 这种这个层面应该是林博在做的
[01:00:49] 但是还有其实在这个之上还有一个更更加智能的一个部分
[01:00:55] 那一部分现在林博还没有解
[01:00:57] 那一部分就是真的把跟人的交互放在里面了
[01:01:01] 就是那个东西是需要很多思考
[01:01:04] 比如说假如说就是呃机器人今天就是一起床
[01:01:09] 然后机器人帮你拉开窗帘
[01:01:10] 他就知道帮你拉开窗帘
[01:01:12] 然后看到外面下雨了
[01:01:13] 他就要知道给你拿把伞让你出门
[01:01:14] 对这这个层面的东西
[01:01:17] 我觉得应该在更高的智能阶段是需要做的
[01:01:22] 而那个阶段可能是跟语言模型跟动物态模型要解决的
[01:01:26] 就是其实我觉得跟数字世界可能就更更相关了
[01:01:28] 对但是但如果单纯的你跟他说
[01:01:31] 帮我拿一把伞这种动作
[01:01:33] 我觉得林博现在解决的是这一层面的问题
[01:01:36] 就他不解决意图的来源问题
[01:01:39] 他只是解决意图的实现
[01:01:41] 他做一个动作
[01:01:42] 对但是他的动作是简单的
[01:01:44] 呃
[01:01:44] 他可以实现的
[01:01:44] 是一段连续的动作
[01:01:45] 但是呃
[01:01:46] 但是他为什么要做这个动作
[01:01:48] 他不知道
[01:01:48] 啊
[01:01:49] 对就是他只管意图的实现
[01:01:52] 就是你有个想法
[01:01:52] 他帮你做了
[01:01:53] 但是他不会有
[01:01:54] 他不会产生自己的想法
[01:01:56] 他不会主动帮你去想
[01:01:57] 你要做什么
[01:01:58] 哦
[01:01:59] 那一层面的交互
[01:02:00] 我觉得可能是更高阶的智能
[01:02:02] 林博现在还没有做这一层面的事情
[01:02:04] 因为你刚刚说第一代能抓取
[01:02:06] 对
[01:02:06] 第二代能做哪些动作
[01:02:07] 他有方法信吗
[01:02:09] 对第二代其实就是因为我们有了这个刚刚说的
[01:02:13] 我觉得为了就是相当于
[01:02:14] 相当于我们没有再重新用数字世界的模型
[01:02:17] 基于数字的模型迭代
[01:02:19] 然后我们可能是为了巨声
[01:02:22] 单纯设计了这么一个模型吗
[01:02:24] 就是因为有了这个
[01:02:25] 我觉得有几个比较大的
[01:02:26] 呃
[01:02:27] 我觉得挺有意思的提升
[01:02:30] 第一个是
[01:02:30] 嗯
[01:02:31] 现在他能处理随机性
[01:02:33] 处理随机问题的能力要强很多
[01:02:36] 这个大概怎么理解呢
[01:02:38] 呃
[01:02:39] 比如说我们其实有一个demo是跟人去
[01:02:42] 就是打那种撞球
[01:02:44] 就是在那个例子里面你会发现
[01:02:46] 嗯
[01:02:47] 他这个demo跟一般的就是大家做的demo就不太一样嘛
[01:02:51] 然后因为他里面会有很强的随机性
[01:02:53] 你永远也不知道就是对面人打过来那个东西会在哪
[01:02:56] 对就是他他就相当于不是说我把位置都对
[01:03:00] 我不是说把位置都打好
[01:03:01] 就是摆好就可以了
[01:03:03] 对他一定要是看到你打过来了
[01:03:05] 我们才能打
[01:03:06] 然后而且有一个很关键的点是我们在整个过程中其实是只依赖了机器人自己的相机
[01:03:14] 就是没有在那个场地周围再放一圈相机
[01:03:17] 然后让那个相机去追踪那个东西的位置
[01:03:19] 就是不是靠这种方式实现的
[01:03:21] 完全是就是跟人一样
[01:03:23] 就是我就一双眼睛
[01:03:24] 然后我就看到那个东西
[01:03:25] 然后去做
[01:03:25] 对这个东西是处理随机性
[01:03:27] 然后另外一个是那个那个回合非常快
[01:03:30] 哦
[01:03:31] 就是因为人打嘛
[01:03:32] 就是他他对实质性的要求就很高
[01:03:34] 他不是一个说你你如果机器人动得很慢
[01:03:38] 或者说你动一下卡一下动一下卡一下
[01:03:40] 其实你是打不回去的
[01:03:41] 这是挺好玩的一个场景
[01:03:43] 对
[01:03:43] 嗯
[01:03:43] 所以我觉得
[01:03:43] 嗯
[01:03:44] 嗯
[01:03:44] 我觉得这这是一个点
[01:03:45] 然后另外一个再举一个例子
[01:03:46] 比如说
[01:03:47] 比如说就是我们还是说整理桌面这个东西
[01:03:50] 就是大家看到的假如说就是一般都会说
[01:03:54] 假如说收纳玩具或者什么
[01:03:55] 基本上都是摆好了嘛
[01:03:57] 对吧
[01:03:58] 然后我们现在是可以支持
[01:04:00] 假如说你就是说把这个桌面上的东西都拿掉
[01:04:02] 都都都都收都收拾起来
[01:04:04] 然后我们现在是可以支持
[01:04:06] 你先拿一个狂随便撒上去
[01:04:07] 撒上去以后
[01:04:09] 然后不就那个
[01:04:10] 其实就就这本身就已经带了随机性
[01:04:13] 对不对
[01:04:13] 你中间还可以把一些东西再拿出来
[01:04:16] 他不是说就把现
[01:04:18] 现在有的这些弄好
[01:04:19] 就是收拾完就好了
[01:04:20] 你会发现你可以把它捡进去
[01:04:23] 那个东西再拿出来
[01:04:24] 随便摆一个地方
[01:04:25] 他还是会把它收进去
[01:04:26] 甚至于你可以跟他一起收拾
[01:04:28] 嗯
[01:04:29] 就是有一些东西可能他他还没收到
[01:04:31] 然后你先帮他收了
[01:04:32] 那他对他来说他就不收了
[01:04:34] 嗯
[01:04:34] 就我觉得这个这一点也是一个比较大的一个一个进步
[01:04:38] 对这个东西就是我们现在能够处理的随机性应该比
[01:04:42] 1.0
[01:04:43] 版本那个模型要在这方面要强很多
[01:04:46] 对
[01:04:47] 这是因为加了更多的数据
[01:04:49] 呃不是
[01:04:50] 这个东西就是因为整个的模型的预训链不一样
[01:04:53] 你看到了模型具有泛化性的这种迹象了吗
[01:04:57] 呃
[01:04:58] 对
[01:04:58] 就是我觉得在这个刚刚说的这种例子里面
[01:05:01] 就是呃
[01:05:03] 任务的泛化
[01:05:04] 就是这不是不能说任务吧
[01:05:05] 就是位置上的泛化
[01:05:06] 这一点我觉得现在应该是有比较大的突破
[01:05:11] 他能够接受这种随机性
[01:05:12] 对
[01:05:13] 这意味着他不是只是通过一个rl来做的反馈
[01:05:17] 对
[01:05:17] 他他不是一个固定的任务了
[01:05:19] 嗯
[01:05:19] 他是一个中间可能会有很多突发情况的一个任务
[01:05:23] 嗯
[01:05:23] 对
[01:05:23] 这是一个
[01:05:24] 我觉得这是一个在这个方面就是随机性
[01:05:28] 就是泛化性分很多很多维度嘛
[01:05:30] 对
[01:05:30] 我觉得在位置泛化上应该现在可以说是解的会好一些了
[01:05:36] 然后
[01:05:36] 但是我觉得现在我们这一版模型可能对于这种任务上的泛化
[01:05:41] 任务上泛化怎么
[01:05:43] 怎么说呢
[01:05:43] 我觉得就是就你能不能够直接就是什么也不做
[01:05:48] 就直接给你一个新的任务
[01:05:50] 从来没见过啊
[01:05:51] 你就能做了
[01:05:52] 我觉得这个是一个比较难的一个事情
[01:05:56] 然后这个我觉得这个维度可能现在还没太做好
[01:06:00] 嗯
[01:06:00] 因为他我觉得一个比较大的原因是因为机器人的数据还是不够多
[01:06:05] 就你见过的任务还是不够多
[01:06:07] 你没办法通过你见过的任务组排列组合变成一个你没见过的任务
[01:06:12] 对
[01:06:12] 我觉得这个可能还是一个即将要就接下来可能要去重点突破的一个点
[01:06:17] 那你需要他建这个任务看几次他能学会呢
[01:06:20] 就是他的学习成本有降低吗
[01:06:22] 这一版应该是比上一版有
[01:06:25] 也就是我们的2.0会比1.0有
[01:06:27] 我觉得是在这方面也是有提升的
[01:06:30] 然后体现在两个方面
[01:06:32] 第一个方面是我们1.0的时候
[01:06:35] 当时其实是做了这种评测嘛
[01:06:37] 当时的评测是每一个任务要单独训一个模型
[01:06:41] 就相当于假设有1.0的任务
[01:06:42] 一百个任务就要训一百个模型出来
[01:06:44] 就每个任务都要单独训一个后训练
[01:06:47] 然后再去测
[01:06:48] 但这一把我们是可以把假设是十个任务
[01:06:52] 我把这十个任务训到一起测
[01:06:54] 相当于这十个任务只用一个模型解决
[01:06:56] 这是一个方面的提升
[01:06:59] 然后另一个是其实从这个数据量上来讲
[01:07:02] 后训练需要的数据量变少了
[01:07:06] 我们上一版应该基本上都在100条左右
[01:07:09] 然后现在应该是20条左右就可以了
[01:07:12] 然后当然你还是没办法做到说一条甚至更少
[01:07:18] 我觉得那个可能要随着你机模的能力再进一步提升
[01:07:22] 可能我们再试图把这个事情再做下去
[01:07:24] 但整体来说这一点上应该是比1.0
[01:07:28] 也是有一个比较大的提升
[01:07:30] 巨神智能今天到什么阶段了
[01:07:32] 你之前说还没有到GPT-1的时刻
[01:07:36] 今天我还是觉得也没有到这个阶段
[01:07:40] 就是巨神智能本身
[01:07:42] 为什么这么说
[01:07:44] 因为现在还没有看到一个比较好的能够做数据skip up的方式
[01:07:52] 哪怕是我们这次说的
[01:07:54] 比如说我们用了6万小时
[01:07:56] 现在有6万小时数据
