[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解封后的人间烟火气息
[03:01:23] 我继续留在fair了
[03:01:24] 已经开始下滑了
[03:01:25] 倒也不是下滑只是说大家的focus已经不在research上面了
[03:01:30] 嗯
[03:01:31] 大家会呃有开这种好几个小时几个小时的这种这种这种research的alignment的meeting
[03:01:38] 就是这种对接的这种会议
[03:01:41] 对齐会议
[03:01:42] 对齐会议啊
[03:01:43] 然后这个会议的唯一的topic就是说我们到底应该做啥
[03:01:46] 好
[03:01:48] 但这样的会议呃这个持续了比如说好几个星期的时间啊
[03:01:54] 还是没有办法确定
[03:01:55] 因为没有人会知道自己要要做什么
[03:01:57] 因为这件事情是完全反我刚刚说的这个research的正常的这种bottomup逻辑的嗯
[03:02:03] 对吧
[03:02:04] 现在变成是说我们要坐在一起讨论我们接下来一年两年的时间应该做一个什么样的research project
[03:02:10] 这件事情在我或者在凯明或者在很多研究员的心里呃看起来
[03:02:16] 都是都是反research
[03:02:18] 对
[03:02:19] 所以那时候也受到了很多的影响吧
[03:02:22] 比如说当初我在做这个dit的时候
[03:02:25] diffusion也是刚刚起步啊
[03:02:27] 还没有人
[03:02:28] 费尔还没有一个人在做diffusion model相关的研究
[03:02:31] 啊
[03:02:32] 但我觉得哎
[03:02:33] 这个东西好像很有趣
[03:02:35] 我觉得应该去尝试尝试
[03:02:37] 然后bill peoples啊
[03:02:39] 他是我当初招的一个intern
[03:02:41] 对吧
[03:02:42] 然后他现在是sour的hat啊
[03:02:43] 也在sour的这种各种生成的视频里面
[03:02:46] 他也是主角
[03:02:47] 嗯对
[03:02:48] 他是一个非常非常sharp啊
[03:02:50] 或者或者在我看来是一个
[03:02:52] 我觉得完美的phd学生吧
[03:02:54] 就是在各个方向呃至少是六边形战士的这样一个学生
[03:02:59] 对但anyway
[03:03:01] 当初我们起点其实不是要做diffusion model也不是要做dit
[03:03:04] 在前两个月的探索
[03:03:06] 完全也是集中在表征学习这件事上
[03:03:09] 就是说我们想要看一看
[03:03:11] 你一个diffusion model学到了这个表征
[03:03:14] 到底跟一个
[03:03:15] 正常的superwise learning
[03:03:17] 或者说一个soft surprise learning学到的表征
[03:03:19] 到底有什么不一样
[03:03:21] 其实后续在这个方向还有很多很多的工作
[03:03:24] 但我们开始的这个做了一段时间的感受
[03:03:27] 就是说
[03:03:28] 这个东西好像
[03:03:30] 也还行
[03:03:31] 也就那样
[03:03:32] 嗯
[03:03:33] 他能学到一个不错
[03:03:34] 一个生成模型能学到一个不错的表征
[03:03:37] 但这个表征
[03:03:38] 要比你的自监督学习的表征要差的多的多的多
[03:03:43] 嗯啊
[03:03:44] 就完全不能打
[03:03:45] 对所以我们就放弃了
[03:03:46] 但是在这个过程中
[03:03:48] 到了最后一个月的时候
[03:03:49] 我们发现
[03:03:50] 哎
[03:03:51] 啊
[03:03:52] 哦
[03:03:53] 这个东西前提是说
[03:03:54] 因为dit我们需要在这个表征的level去跟比如说vit base的这种表征的系统
[03:03:59] 要做一个对比
[03:04:00] 嗯
[03:04:01] 所以那个时候是我们为什么我们不用unet
[03:04:03] 要用vit
[03:04:04] 来做这个diffusion model
[03:04:05] 这个是出发点
[03:04:06] 对吧
[03:04:07] 然后后来我们发现
[03:04:08] 哎
[03:04:09] 这件事情在表征的这个角度好像没有什么太大的价值
[03:04:13] 但是好像
[03:04:14] 我们的这个新的architecture
[03:04:17] 它确实更加efficient
[03:04:19] 然后确实更加scalable
[03:04:21] 嗯
[03:04:22] 比unet要更稳定
[03:04:23] 并且从代码的角度
[03:04:25] 我会非常care这些事情
[03:04:27] 就从你的代码的角度
[03:04:29] 我们叫它这种minimal description length
[03:04:32] 就是说你代码其实还是很重要的
[03:04:34] 你是能体现出来一些事情的
[03:04:35] 如果你的代码的长度很短
[03:04:38] 啊
[03:04:39] 就能够去达到同样的目的
[03:04:41] 那你这个方法typically
[03:04:43] 会会优于一个
[03:04:44] 比如说写了好几千行代码
[03:04:46] 一个非常非常膨胀的系统啊
[03:04:48] 即使他也能做同样的事情
[03:04:50] 但你的前一种这种更elegant的solution
[03:04:53] 更simple solution
[03:04:54] 一定是更好
[03:04:55] 我觉得这也是某种意义上的research taste
[03:04:57] 嗯
[03:04:58] 所以我们发现哎
[03:04:59] 这件事情又简单
[03:05:00] 又能work
[03:05:01] 又scalable
[03:05:02] 然后又efficient
[03:05:03] 那好像这件事情才是应该我们去pursue的direction
[03:05:07] 所以也是提前一个月啊
[03:05:09] 然后然后去做这件事
[03:05:11] 嗯
[03:05:12] 然后那时候也要竞争很多的资源
[03:05:15] 大家就说哎呀
[03:05:16] 你这个做这个事情干什么呀
[03:05:17] 我们现在要把资源集中到一起
[03:05:19] 然后我们要做一些更有意义的更大的project
[03:05:22] 谁会说
[03:05:23] nobody knows
[03:05:24] 大家所以要有这种对其会议里面讨论了
[03:05:27] 但是但至少diffusion model不会是
[03:05:30] 在这个critical path中的一个重要的
[03:05:34] 就在这个核心路径上的重要的一元
[03:05:37] 嗯对
[03:05:38] 所以大家会有很多的反对
[03:05:40] 啊
[03:05:41] 但我觉得我能看到这件事情
[03:05:43] 其实是一个很重要的事情
[03:05:44] 因为我觉得这这件事情
[03:05:46] 从架构我做我做架构做这么长时间
[03:05:48] 我觉得这是diffusion架构的未来
[03:05:51] 对它不是diffusion model全部
[03:05:53] 像我说的data架构
[03:05:55] 还有还有objective都是很重要的
[03:05:58] 对但是在在架构上这件事情
[03:06:00] 是绕不过去的一环
[03:06:02] 啊所以这是为什么最后一个月就朝这个方向去push
[03:06:05] 啊最后结果也很好
[03:06:06] 然后我们能售出来这种真的很好的这种scaling behavior
[03:06:10] 然后我们投了paper到cvpr
[03:06:12] 啊然后我觉得都非常开心啊
[03:06:14] 然后paper被拒了
[03:06:15] 嗯
[03:06:16] 对乐坤好像写过这个推特
[03:06:18] 是的
[03:06:19] 就是就是novelty不够所谓
[03:06:21] 对你们可能做的这个东西
[03:06:23] 啊对吧
[03:06:24] 你你你没有大段的数学
[03:06:25] 你没有大段的这种复杂的这个结构
[03:06:27] 你弄了一个很简单的这样一个结构
[03:06:29] 虽然得到很好的结果
[03:06:31] 但是嗯river不买账
[03:06:33] 嗯
[03:06:34] 对啊
[03:06:35] 所以这也是另外一个lesson
[03:06:36] 但到那个时刻其实我已经慢慢回过神来了
[03:06:39] 我发现啊这个research paper这件事情啊
[03:06:44] 其实这个在这个巨大的随机过程里面
[03:06:47] 重或不重一点一点都不重要啊
[03:06:50] 所以我们接下来又投另外一个回
[03:06:52] 那什么也没改
[03:06:53] 那又中了一篇all world paper
[03:06:54] 嗯
[03:06:55] 所以再次证明这个完全是一个纯粹的随机过程
[03:06:58] 但之后发生的事情比较有趣啊
[03:07:00] 就拿到这个paper之后
[03:07:02] 我发现这件事情在各个维度上都比一个unit based system要好
[03:07:07] why not
[03:07:08] 你就应该用这件事
[03:07:10] 对吧
[03:07:11] 你统一了你的底层的这个逻辑
[03:07:13] 在制造在架构上面统一了这个逻辑
[03:07:15] 你可以share很多这种infrastructure
[03:07:17] 它又这么efficient
[03:07:18] 结果又好
[03:07:19] 又scalable
[03:07:20] 你可以创建更大的模型
[03:07:22] 所以我们就想哎
[03:07:23] 这件事情这个paper发出去
[03:07:25] 那一定会有很多关注
[03:07:26] which by the way确实有很多关注
[03:07:28] 就是推荐很多人讨论
[03:07:30] 但是我们发现哎
[03:07:31] 好像没有人真的用它干任何事
[03:07:33] 哦
[03:07:34] 哦
[03:07:35] 然后我们开始就开始跟大家聊
[03:07:37] 比如说我们去找stable diffusion的人
[03:07:39] 哦
[03:07:40] by the way我觉得stable diffusion ldm也是一个
[03:07:42] 在我看起来属于那二十几篇paper里面的一个
[03:07:45] 但我跟他们也有些人也在去聊
[03:07:47] 然后我们跟一些其他的大公司也有在聊
[03:07:50] 嗯
[03:07:51] 我们相当于在学校里面
[03:07:52] 那时候我已经
[03:07:53] 就相当于这篇paper是是刚好落脚在我在fair的最后
[03:07:57] 和我在nyu开始
[03:07:58] 哦
[03:07:59] 所以两边都署名是吗
[03:08:00] 这样的话
[03:08:01] 对对对
[03:08:02] 其实不是
[03:08:03] 其实是只属了nyu的名字和berkeley的名字
[03:08:05] 哦
[03:08:06] 就是fair不让我们署名
[03:08:07] 为什么
[03:08:08] 因为第一是他们觉得这篇paperit's ok
[03:08:11] it's a paper
[03:08:12] 第二是那你已经离开了
[03:08:13] 不要署我们名
[03:08:14] 不要不要借我们fair的名声
[03:08:16] 啊
[03:08:17] 给你
[03:08:18] 哈哈哈哈
[03:08:19] 有趣
[03:08:20] 声光天才
[03:08:21] 啊
[03:08:22] 嗯
[03:08:23] 然后anyway吧
[03:08:24] 啊
[03:08:25] 就会其实本账还是一些legal的原因吧
[03:08:26] 嗯
[03:08:27] 反正就没有署名
[03:08:28] 所以是是输的万有名
[03:08:29] 但这件事情是一个在在fair完整的做完的事情
[03:08:33] 对世界总是这么讽刺
[03:08:34] 有点讽刺
[03:08:35] 对
[03:08:36] 嗯
[03:08:37] 然后后来反正发生的事情大家也知道
[03:08:39] 那就是bill跑去openai
[03:08:40] 那说好你们都不买账
[03:08:42] 那我自己来做这件事
[03:08:44] 哦
[03:08:45] 是这个原因
[03:08:46] 是这个原因
[03:08:47] 对啊
[03:08:48] 然后或者说那时候他也在跟我讨论
[03:08:49] 说到底应该去找什么工作
[03:08:51] 他有好多不同的offer
[03:08:53] 然后有些startup
[03:08:54] 有openai
[03:08:55] 然后也有一些大公司
[03:08:56] 啊
[03:08:57] 然后啊
[03:08:58] 然后然后那时候他才第三年
[03:09:00] 然后他也是这个也
[03:09:02] 我觉得也是有一个非常好
[03:09:04] 非常好的这种啊
[03:09:06] 可能比我强多了的这种预测模型吧
[03:09:08] 啊
[03:09:09] 我觉得他是能看到说要早点加入openai
[03:09:11] 啊
[03:09:12] openai
[03:09:13] 啊
[03:09:14] 现在不得了
[03:09:15] 那是哪一年
[03:09:16] 呃
[03:09:17] 是这个22年
[03:09:18] 哦
[03:09:19] 呃
[03:09:20] 22年
[03:09:21] 年底
[03:09:22] 对
[03:09:23] 22年年底
[03:09:24] 对
[03:09:25] 22年年底
[03:09:26] 那个时候不是chashbd刚出来吗
[03:09:28] 是啊
[03:09:29] 哦
[03:09:30] 他就加入了哦
[03:09:31] 呃
[03:09:32] 对啊就是他加入了然后
[03:09:33] 你们这工作就做完了吗
[03:09:34] 你们不是在chashbd之后做的吗
[03:09:36] 呃
[03:09:37] 不是因为我是23年1月就已经到nyu了
[03:09:41] 哦
[03:09:42] 所以这个工作其实是上一年22年的暑假开始的一个工作
[03:09:46] 哦
[03:09:47] 所以是在chashbd之前就做了
[03:09:48] 之前
[03:09:49] 对
[03:09:50] 哦
[03:09:51] 所以这是为什么openai
[03:09:52] 我觉得也很厉害
[03:09:53] 就他能够意识到比如build的才能
[03:09:58] 嗯
[03:09:59] 并且能够让他们有一个包括team teambooks对吧
[03:10:03] 能够有一个这样一个很bottom up
[03:10:06] 在我看起来其实是一个蛮research的一个effort
[03:10:09] 给他们足够多自由度跟资源
[03:10:11] 让他们做一个在之前大家想都不敢想的事情
[03:10:14] 嗯
[03:10:15] 这件事情就是骚扰
[03:10:16] 对吧
[03:10:17] 我觉得这件事情至少在在当初fair是没有这个基因的
[03:10:22] 大公司也不会有这个基因
[03:10:23] 就如果你们没有离职还在fair
[03:10:26] 他们依然不会用dit
[03:10:28] 呃那那那那我觉得也不见得
[03:10:31] 倒不是用不用的问题
[03:10:32] 我觉得更多的是怎么样能催生出这样新的这种创新的
[03:10:36] 呃这种这种结果
[03:10:38] 嗯
[03:10:39] 对
[03:10:40] 然后我觉得或者说这个架构只是其中的一部分
[03:10:42] 我觉得我觉得他一点都不重啊
[03:10:43] 他只是他只是一个选择
[03:10:45] 嗯
[03:10:46] 嗯
[03:10:47] 但他battle了这件事情
[03:10:48] 对要battle或者相信这件事情能做成
[03:10:50] 嗯
[03:10:51] 我觉得这件事情不是不是所有人都能相信得了的
[03:10:54] 嗯
[03:10:55] 哦
[03:10:56] 我觉得这件事情其实是非常厉害的
[03:10:57] 嗯
[03:10:58] 这其实在讲的是soro的诞生的很多前续的故事
[03:11:01] 对吧
[03:11:02] 嗯
[03:11:03] 有点是是是
[03:11:04] 嗯
[03:11:05] 然后对然后
[03:11:06] 哇你见证了好多
[03:11:07] 啊
[03:11:08] 嗯
[03:11:09] 对我觉得见证了一些人一些事吧
[03:11:11] 的啊
[03:11:12] 但也错过了很多的
[03:11:14] 嗯
[03:11:15] 错过了什么
[03:11:16] 那比如当初没去opi啊
[03:11:17] 或者说呃之后还有很多其他机会
[03:11:20] 我就不不说了
[03:11:21] 但总之是有点我
[03:11:24] 我觉得我看对了很多事情和很多人
[03:11:26] 很多人
[03:11:27] 但也有一些时候比如说某些创业公司在非常非常早期的时候
[03:11:31] 然后
[03:11:32] 然后
[03:11:33] 跟我聊
[03:11:34] 然后想想想想说哎
[03:11:35] 就我可能是第一个看他们的demo的人
[03:11:37] 啊
[03:11:38] 也许可以说吧
[03:11:39] 就是
[03:11:40] 呃这个arrow
[03:11:41] perplexity
[03:11:42] 的arrow
[03:11:43] 然后
[03:11:44] 然后
[03:11:45] 他从opi出来
[03:11:46] 在pilato的这个blue bottle的这个这个这个这个这个咖啡店啊
[03:11:51] 这也是一个硅谷里面so
[03:11:53] 很多事情发生的一个地方
[03:11:55] 啊
[03:11:56] 很小
[03:11:57] 我可能是至少第一第二个看到他的一个demo的这样一个人
[03:11:58] 嗯
[03:11:59] 他拿着一个电脑
[03:12:01] 给我看一个
[03:12:02] 嗯
[03:12:03] 一个一个一个浏览器
[03:12:04] 然后说哎
[03:12:05] 我们要
[03:12:06] 革了google的命
[03:12:07] 啊
[03:12:08] 然后我说哇
[03:12:09] 你这个好厉害
[03:12:10] 但我心里面觉得
[03:12:11] 这个是什么东西
[03:12:12] 啊
[03:12:13] 这个不就是
[03:12:14] gpt套了一个壳
[03:12:15] 然后
[03:12:16] why are you doing this
[03:12:17] 嗯
[03:12:18] 对吧
[03:12:19] 所以他说哎
[03:12:20] 要不要一起来做啊
[03:12:21] 我说
[03:12:22] 我我我还是比较enjoy
[03:12:23] being atnyu
[03:12:24] 这个
[03:12:25] 对
[03:12:26] 对
[03:12:27] 嗯
[03:12:28] 这个对去去去做research啊
[03:12:31] 但后来其实确实我觉得
[03:12:33] 我觉得我觉得我对创业者的啊
[03:12:37] 这个这个认知在在过去的几年也发生了一些变化啊
[03:12:41] 然后我觉得这件事情跟research还真的不一样啊
[03:12:44] 有有很多相通的地方
[03:12:45] 但也也有一些不不同的点
[03:12:47] 嗯
[03:12:48] 对
[03:12:49] 然后但anyway就是
[03:12:50] 这个车又又车远了啊
[03:12:52] 然后工作上
[03:12:53] 我觉得我们可以呃
[03:12:55] 快速在讲一讲后面的一些东西吧
[03:12:57] 因为我可能可以最后总结一下
[03:12:59] 对
[03:13:00] 除了普普达斯蒂
[03:13:01] 还错过了谁
[03:13:02] 嗯
[03:13:03] 呃
[03:13:04] 其他的其他的不说吧
[03:13:05] 其他的有可能是刚错过
[03:13:06] 或者还我还不知道是不是错过的
[03:13:08] 哦
[03:13:09] 一些地方
[03:13:10] 嗯
[03:13:11] 嗯
[03:13:12] 哈哈哈
[03:13:13] 嗯
[03:13:14] 对
[03:13:15] 但但其实没有什么错过
[03:13:16] 或者说我在现在这个时间年龄
[03:13:17] 我并没有后悔任何的决定
[03:13:18] 嗯
[03:13:19] 我觉得我觉得每一个决定
[03:13:20] 都是
[03:13:21] 比较忠诚于我的内心
[03:13:22] 然后
[03:13:23] 再做我想做的这件事情
[03:13:24] 有可能这些决定很傻
[03:13:25] 是吧
[03:13:26] 有可能这些决定很傻
[03:13:27] 有可能
[03:13:28] 从一些维度上来看
[03:13:29] 其实是一个错误的决定
[03:13:30] 但
[03:13:31] 我现在会觉得
[03:13:32] 呃
[03:13:33] 第一很知足
[03:13:34] 第二我觉得
[03:13:35] 嗯
[03:13:36] 像你说的
[03:13:37] 这是属于我的一条路
[03:13:38] 这条路
[03:13:39] 还能通向更远的未来
[03:13:40] 我还会在这条路上继续走
[03:13:42] 嗯
[03:13:43] 所以
[03:13:44] 我觉得非常非常感恩
[03:13:45] 对
[03:13:46] 反正DIT之后
[03:13:47] 然后我们又做了
[03:13:48] 一个工作
[03:13:49] 然后就是把这个
[03:13:50] flow matching
[03:13:51] 就是就是把这个新的objective
[03:13:53] 然后在transformer setting下面
[03:13:55] 也把它
[03:13:56] 嗯
[03:13:57] 拓展起来
[03:13:58] 对
[03:13:59] 然后这个
[03:14:00] 每次也是都都是当笑话讲了
[03:14:01] 也是先投稿
[03:14:02] 然后又被拒了
[03:14:03] 啊
[03:14:04] 然后
[03:14:05] 然后同样的原因
[03:14:06] 啊
[03:14:07] 但是
[03:14:08] again
[03:14:09] 经过这样次数多了之后
[03:14:10] 我觉得
[03:14:11] 我就基本上免疫了
[03:14:12] 嗯
[03:14:13] 或者这件事情其实还是蛮
[03:14:14] 呃
[03:14:15] 满满满
[03:14:16] 叫做反脆弱的
[03:14:17] 这个塔勒布
[03:14:18] 有一本书
[03:14:19] 叫做这个反脆脆弱
[03:14:20] 嗯
[03:14:21] 对吧
[03:14:22] 然后我觉得
[03:14:23] 呃
[03:14:24] 我当初讲无限游戏的时候
[03:14:25] 我其实也提到这件
[03:14:26] 这个观点就是说
[03:14:27] 我觉得
[03:14:28] research其实必须得要是一个
[03:14:29] 反脆弱的系统
[03:14:30] 这个反脆弱是什么意思呢
[03:14:32] 就是说
[03:14:33] 一个组织或者一个个人
[03:14:34] 或者一个事情
[03:14:35] 它如果是反脆弱的
[03:14:37] 就是anti-fragile
[03:14:38] 它的意思是说
[03:14:40] 一个
[03:14:41] 可能的这样的一个random的event
[03:14:44] 啊
[03:14:45] 某种黑天鹅的事件
[03:14:46] 或者说某种shock
[03:14:47] 就一种一种
[03:14:49] 一种
[03:14:50] 呃
[03:14:51] 这种这种令你感到惊讶的
[03:14:52] 一个事件的发生
[03:14:53] 这件事情如果
[03:14:55] 对于这个组织
[03:14:56] 对于这个人
[03:14:57] 或者对于这个事情来说
[03:14:58] 你的收益要比你的损失要大
[03:15:01] 那你的这个组织
[03:15:03] 就是一个反脆弱的组织
[03:15:05] 但如果你立刻被这个shock击倒了
[03:15:08] 那你就是一个脆弱的组织
[03:15:09] 嗯
[03:15:10] 所以
[03:15:11] 呃
[03:15:12] 我看起来就是说
[03:15:13] 这个research这件事情
[03:15:14] 其实是一个怎么样让
[03:15:16] 大家变得越来越反脆弱的
[03:15:18] 这样个
[03:15:19] 一个一个一个一个事情
[03:15:21] 嗯
[03:15:22] 然后所以
[03:15:23] 呃
[03:15:24] 这个被拒了也没那么伤心了
[03:15:26] 然后
[03:15:27] 但后来我觉得就是像
[03:15:28] 像dit
[03:15:29] 然后sit
[03:15:30] 都会变
[03:15:31] 变成一个
[03:15:32] 呃
[03:15:33] 相当于学术界的一个
[03:15:34] 一个base line吧
[03:15:35] 然后
[03:15:36] 让大家可以继续在他上面
[03:15:37] 做各种各样的事情
[03:15:38] 然后我觉得他的历史
[03:15:40] 这个这个任务也达到
[03:15:42] 嗯
[03:15:43] 所以这是在diffusion上面
[03:15:44] 当然
[03:15:45] 后来还做了很多其他的事情
[03:15:46] 但是
[03:15:47] 我可能想说一下
[03:15:48] 我们最近
[03:15:49] 比如说有一套
[03:15:50] 另外的
[03:15:51] 事情叫做
[03:15:52] 叫做这个cambrian
[03:15:53] 对吧
[03:15:54] 对啊
[03:15:55] 中文叫做韩武记
[03:15:56] 对
[03:15:57] 但是这个韩武记这个东西
[03:15:58] 对
[03:15:59] 我也我也讲了什么善务记
[03:16:00] 对吧
[03:16:01] 就是说
[03:16:02] 这个
[03:16:03] 这个leading theory
[03:16:04] 说viren的
[03:16:05] 呃
[03:16:06] 演化带来了物种之间的
[03:16:08] 在viral
[03:16:09] viral能力上面的这种
[03:16:11] 群背竞赛
[03:16:12] 然后导致了这种物种大爆发
[03:16:14] 然后
[03:16:15] 所以大家
[03:16:16] 有时候会觉得
[03:16:17] 韩武记是一个视觉的起点
[03:16:19] 对
[03:16:20] 呃
[03:16:21] 然后说到这个韩武记了
[03:16:22] 那那可能再插一句
[03:16:23] 就是说
[03:16:24] 其实如果你看
[03:16:25] 整个
[03:16:26] 地球的历史
[03:16:28] 啊
[03:16:29] 我们把把尺度放的更远一点
[03:16:30] 嗯
[03:16:31] 从538个million years ago
[03:16:34] 一直到现在
[03:16:35] 对吧
[03:16:36] 其实所谓的modern behavior
[03:16:38] 这种这种behavioral
[03:16:39] 啊
[03:16:40] modernity
[03:16:41] 就是所谓的
[03:16:42] 啊
[03:16:43] 这种行为现代化
[03:16:45] 这件事情是在过去的3万到5年
[03:16:48] 5万几年前发生的
[03:16:49] 所以
[03:16:51] 如果假设从韩武记大爆发的时候
[03:16:53] 从韩武记大爆发
[03:16:54] 然后开始地球上开始出现这种这种物种开始
[03:16:58] 一直到现在
[03:16:59] 如果我们把它缩短到一天对吧
[03:17:01] 假设所有这一切都只是在24小时内发生的啊
[03:17:05] 那其实有语言的部分
[03:17:08] 有这种behavioral
[03:17:10] modernity
[03:17:11] 然后大家可以有某种abstract thinking
[03:17:14] 某种symbolic reasoning
[03:17:16] 啊
[03:17:17] 这一部分的过程
[03:17:18] 其实在这一天中只占了最后
[03:17:21] 你猜猜大概多长时间
[03:17:22] 三个小时
[03:17:28] 三个小时
[03:17:29] 嗯
[03:17:30] 高估了高估了
[03:17:31] 啊
[03:17:32] 三分钟
[03:17:33] 还是高估了
[03:17:34] 三秒钟
[03:17:35] 呃
[03:17:36] 大概大概是8秒到10秒吧
[03:17:37] 决定怎么算
[03:17:38] 哦
[03:17:39] 所以在这个历史的长河里面
[03:17:41] 其实我们有语言
[03:17:42] 啊
[03:17:43] 的时间其实是非常非常短暂的
[03:17:45] 啊
[03:17:46] 然后但是由于我们是人
[03:17:48] 我们总会从
[03:17:49] 啊
[03:17:50] 从从人的角度去思考这个事情
[03:17:52] 去看待这个历史
[03:17:53] 所以我们会觉得啊
[03:17:55] 好像
[03:17:56] 语言
[03:17:57] 自然而然就是人的智能的一部分
[03:18:00] 然后这也是区别于
[03:18:02] 人的智能跟其他动物智能的一个主要的区别
[03:18:05] 啊
[03:18:06] 但anyway就是这个可能又又又扯的有点远
[03:18:09] 我们等一下可以come back to this
[03:18:10] 嗯
[03:18:11] 那我想说的是这个cambrian series
[03:18:12] 嗯
[03:18:13] 之所以取这个题目
[03:18:15] 就是因为
[03:18:16] 我们当初觉得啊
[03:18:18] 现在这个多摩泰大模型这么火热
[03:18:21] 但我们又像
[03:18:22] 有点像当初confdex的时候
[03:18:24] 一样的视角
[03:18:26] 我们希望能够去检验一下
[03:18:28] 啊
[03:18:29] 现在正在发生的事情
[03:18:30] 啊
[03:18:31] 然后以一个比较solid比较scientific的方式
[03:18:35] 去研究一下到底什么重要什么不重要
[03:18:37] 所以这是这个cambrian model的出发点
[03:18:40] 然后这件事情
[03:18:41] 在之前还有另外一篇paper叫做
[03:18:43] 叫做SY shot
[03:18:44] 啊
[03:18:45] 嗯
[03:18:46] 这边有这个导演朋友的
[03:18:48] 这也是库布里克的一个电影
[03:18:49] 所以
[03:18:50] 所以
[03:18:51] 所以
[03:18:52] 所以
[03:18:53] 那篇paper里面讲的事情是说
[03:18:54] 对于这个
[03:18:55] 呃
[03:18:56] 呃
[03:18:57] vision encoder来说
[03:18:58] 其实clip可能
[03:18:59] 不是最优的
[03:19:00] 他有可能会有他自己的缺陷
[03:19:01] 啊
[03:19:02] 呃
[03:19:03] 因为他有
[03:19:04] 这种太多的这种
[03:19:06] 这种语言的shortcut
[03:19:07] 导致他对视觉的理解方面有可能出现一些偏差
[03:19:11] 所以cambrian one
[03:19:12] 其实是这个paper的某种意义上一个延续
[03:19:14] 是说我们怎么样
[03:19:15] 训练一个我们自己的这样一个系统
[03:19:17] 然后在
[03:19:18] 呃
[03:19:19] 每一块上
[03:19:20] 都做足够充分的study
[03:19:22] 然后
[03:19:23] 但是我们只有一块不碰
[03:19:24] 就是我们的lm的部分
[03:19:26] 我们不碰
[03:19:27] 我们不管他啊
[03:19:28] 然后但我们去study
[03:19:29] 比如说我们的data的构成
[03:19:31] 我们去study
[03:19:32] view representations
[03:19:33] 对吧
[03:19:34] 然后这种这种表征啊
[03:19:36] 呃
[03:19:37] 然后以及
[03:19:38] 后续的这些
[03:19:39] 比如说
[03:19:40] 各种各样的架构
[03:19:41] 这种视觉处理的架构
[03:19:42] 等等的吧
[03:19:43] 一系列东西
[03:19:44] 对
[03:19:45] 所以它是一个
[03:19:46] 蛮大的一个effort
[03:19:47] 所以很多时候有工业界的朋友
[03:19:49] 问我说
[03:19:50] 哎
[03:19:51] 你我很好奇你们是怎么组织组织起来
[03:19:53] 这么多学生
[03:19:54] 然后做这么大的一个collaborative project的的
[03:19:57] 嗯
[03:19:58] 对吧
[03:19:59] 然后其实我也没有答案
[03:20:00] 那非要问我的话
[03:20:01] 那就是学生给力
[03:20:02] 对
[03:20:03] 大家
[03:20:04] 呃
[03:20:05] 大家愿意去探探究这个问题
[03:20:06] 并且能够以比较好的方式在一起合作
[03:20:11] 对
[03:20:12] 然后当然还这里面会有一个基础
[03:20:13] 这件事情蛮好玩的
[03:20:14] 可以分享一下
[03:20:15] 就我刚刚提到说
[03:20:17] 凯明当初不是在tpo上面去提出的
[03:20:19] 这个infrastructure
[03:20:20] 然后这个从无到有
[03:20:21] 我们有了自己的资源
[03:20:23] 然后啊
[03:20:24] 他lead to了
[03:20:25] 比如说像moco mae
[03:20:26] 还有还有这个dit这样的工作
[03:20:29] 所以很自然而然
[03:20:30] 然后到了后面在nyu的时候
[03:20:32] 呃
[03:20:33] 我就在考虑说我们到底能不能去也在tpo上做一些事情
[03:20:36] 因为google
[03:20:37] 呃
[03:20:38] 其实还是对
[03:20:39] 感谢google
[03:20:40] google也是一个非常
[03:20:41] 呃
[03:20:42] 这个这个generalist company
[03:20:44] 然后他有一个program叫做叫做trc
[03:20:46] 啊
[03:20:47] 就是啊
[03:20:48] tpo research cloud
[03:20:49] 他无偿的给学术界的学生还有老师们去用这部分计算机
[03:20:55] 呃计算资源
[03:20:56] 对
[03:20:57] 呃
[03:20:58] 但这部分资源极其难用
[03:20:59] 因为还是面临一样的问题
[03:21:01] 就是没有这个ecosystem
[03:21:03] 所以你没有这个infrastructure
[03:21:05] 没有没有这个基础架构
[03:21:06] 也没有这个code base
[03:21:08] 很多东西pat torch放在上面不work
[03:21:10] 嗯
[03:21:11] 这一面其实就我们一开始面临的这样一个抉择
[03:21:13] 一方面我们从google拿到了一些资源
[03:21:17] 我们可以有更多的算力
[03:21:18] 可以有更多的算力
[03:21:19] 绝对的算力
[03:21:20] 去做我们想做的事情
[03:21:22] 另一方面
[03:21:23] 这件事情实在是太难用了
[03:21:25] 啊
[03:21:26] 所以我跟学生说
[03:21:27] 你们一定要去试一试
[03:21:29] 啊
[03:21:30] 我也给他们讲了比如凯明的这个story
[03:21:32] 嗯
[03:21:33] 呃
[03:21:34] 但是
[03:21:35] 他们试了大概可能一个星期
[03:21:38] 然后回过来说
[03:21:39] 老师实在这个受不了了
[03:21:42] 我们能不能买个两台h100的机器
[03:21:45] 还是用gpu吧
[03:21:47] 啊
[03:21:48] 然后我跟他们说
[03:21:49] 嗯
[03:21:50] 这件事情还是要沉得住气
[03:21:52] 如果比如说你们试了大概三到四个星期
[03:21:56] 然后发现这件事情确实有技术上的障碍
[03:21:59] 我们确实因为我们不在google
[03:22:01] 没有这一套infrastructure
[03:22:02] 所以有些事情我们确实做不了
[03:22:04] 或者我们解决不了
[03:22:06] 那我们可以give up
