[00:00:00] 我觉得可能是有史以来最激烈的一次科技竞争
[00:47:32] 先发需要快
[00:47:33] 先发其实我觉得需要快
[00:47:36] 我觉得可能也还需要大方向正确
[00:47:40] 否则沿着错误的方向快也没用
[00:47:43] 但后发我觉得可能更比拼
[00:47:45] 很综合的一些能力
[00:47:47] 包括组织力
[00:47:48] 这也很重要
[00:47:49] 入主千里对你来说是一个困难的选择吗
[00:47:52] 它是一个你思考多长时间的一个选择
[00:47:56] 我觉得本质上
[00:47:57] 我原来会觉得矿石会是我一生的事业
[00:47:59] 所以这个可能是一个重要的选择
[00:48:04] 但是我觉得其实整个的想法
[00:48:06] 是一个很重要的选择
[00:48:06] 包括很多的目标
[00:48:08] 包括团队
[00:48:09] 其实我觉得大家还是一个大生态
[00:48:11] 我觉得是有很多延续性的
[00:48:13] 到千里我觉得对我来讲
[00:48:16] 并不是一个很难的选择
[00:48:17] 是因为我们其实在1.0时代
[00:48:20] 一直在找场景
[00:48:21] 就是相当于刚才说
[00:48:22] 拿着锤子找钉子
[00:48:23] 发现有一个最好的钉子
[00:48:26] 而且又有最好的合作伙伴
[00:48:28] 我觉得这不是一个很难的选择
[00:48:31] 但是坦白讲进到这个领域
[00:48:34] 我们也有很大的压力
[00:48:35] 因为打后发比的是执行力
[00:48:38] 因为你给你的宣传过去很短
[00:48:40] 后发怎么来说服你的客户
[00:48:43] 原来可能已经有很多玩家
[00:48:45] 为什么你作为最后一个入场的
[00:48:47] 你可以赢
[00:48:47] 所以这个我觉得其实需要有
[00:48:50] 很强的组织能力
[00:48:51] 并且要很快拿出结果
[00:48:53] 但是so far我觉得还是进展的不错
[00:48:55] 你怎么看现在支架的行业格局
[00:48:58] 包括地平线MOMENTA
[00:48:59] 你觉得最后会有多少家存在
[00:49:02] 对 我觉得肯定会高度头部化
[00:49:04] 因为第一个
[00:49:05] 这个行业其实从新能源车的过渡竞争
[00:49:10] 其实就会往上去传递
[00:49:11] 就是你在这个
[00:49:13] 真正在供应商这个角度
[00:49:14] 零部件角度的话
[00:49:15] 其实它的利润率也不会很高
[00:49:17] 这有的阶段性
[00:49:18] 所以如果利润率不高的情况下
[00:49:19] 而整个的支架
[00:49:21] 包括我来做仓
[00:49:22] 它其实都是一个非常大模型驱动的一套体系
[00:49:24] 所以它的研发成本是很高的
[00:49:26] 所以如果你单台车能够收的空间没有那么大的话
[00:49:30] 其实你就一定要有规模
[00:49:31] 所以其实所以最终一定会形成
[00:49:34] 我觉得三家
[00:49:35] 左右吧
[00:49:36] 的核心供应商
[00:49:37] 这三家供应商我觉得总体上还是有
[00:49:40] 可能不说有肉吃嘛
[00:49:42] 至少有汤喝的状态
[00:49:44] 这三家都会长期存在吗
[00:49:46] 当车企开始更多的自己把支架掌握在自己手里
[00:49:50] 你觉得
[00:49:51] 我觉得我的判断
[00:49:52] 支架和支仓不一样
[00:49:54] 座仓可能最后车企会自研的比例会很高
[00:49:56] 因为座仓其实是高度个性化的
[00:49:59] 它也跟人机交互
[00:50:00] 体验感很重要
[00:50:02] 而且它未来会有很多增值服务的空间
[00:50:04] 所以我觉得支架是一个安全件
[00:50:06] 所以我反而觉得支架就像博士当年这些安全件一样
[00:50:10] 我觉得反而会到TL1的这个手里
[00:50:12] 然后这TL1我为什么觉得有三家呢
[00:50:14] 就是实际上华为肯定是一家
[00:50:17] 那已经是老大哥了对吧
[00:50:20] 那这里面其实我觉得这其实跟整个车企未来的OEM的格局相关
[00:50:25] 所以未来一定会有几家头部的车企
[00:50:27] 这些头部车企其实需要有非常综合的供应商
[00:50:30] 那这里面我觉得这样的供应商应该有两家
[00:50:33] 然后同时可能还会有
[00:50:34] 中型或者中小型车企
[00:50:36] 其实它也需要有供应商
[00:50:38] 所以可能未必是一个2加1或2加2的组合
[00:50:41] 所以我觉得三到四家供应商
[00:50:43] 除了华为还会有谁
[00:50:45] 你说在大的这里面是吗
[00:50:47] 我觉得我们是有机会的
[00:50:50] 那地平线和摩温它少了谁
[00:50:52] 那可以2加2嘛对
[00:50:54] 我感觉就是中国商业两座大山
[00:50:57] 一座是自己一座是华为
[00:50:58] 你们好像都会碰到
[00:51:00] 准备怎么打怎么竞争
[00:51:03] 对我觉得所有的科技公司
[00:51:04] 都会碰到
[00:51:05] 对就是我觉得字节跟华为都非常优秀
[00:51:08] 就字节我觉得希望是从互联网
[00:51:10] 移动互联网应用往下去延伸
[00:51:12] 而华为是从底层的通讯和半导体机构
[00:51:14] 往上去涨
[00:51:16] 所以我觉得这两家公司都很伟大
[00:51:18] 然后我觉得本质上所有的创业公司面临
[00:51:21] 都是要找到你自己的长板和一个你的切口
[00:51:25] 核心之前都讲
[00:51:27] 就是你所竞争的不是整个公司
[00:51:29] 不是跟整个字节和华为竞争
[00:51:30] 而是跟它局部的那支部队去竞争
[00:51:33] 所以我觉得其实
[00:51:34] 创业公司首先第一还是要
[00:51:37] 总体是要专注
[00:51:38] 然后第二点就是还是要有你自己的核心竞争力
[00:51:40] 比如说我自己觉得我们很有信心的点在于
[00:51:43] 不管是千里还是街跃
[00:51:45] 本账还是这帮人是非常AI
[00:51:48] 原生的一帮人
[00:51:49] 他们在AI技术的判断和研发能力上是很强的
[00:51:53] 他们只要找到一个非常好的
[00:51:55] 他们能够有一定壁垒的商业化的赛道
[00:51:58] 把这些赛道耕耘好
[00:52:00] 把这类客户服务好
[00:52:01] 我觉得就可以活下来
[00:52:04] 这两个公司的文化直觉感觉应该非常不一样吧
[00:52:07] 对
[00:52:08] 那做大脑和做躯干的公司是应该不一样的
[00:52:11] 你怎么同时管理这两家公司呢
[00:52:14] 首先第一点我坦诚讲
[00:52:15] 我认为不同文化的组织应该相对独立
[00:52:19] 就是否则你会发现会把不同的文化吸在一起
[00:52:22] 会变成可能从任何一个角度不够优秀的一个组织
[00:52:27] 但第二点我自己感觉
[00:52:28] 因为有这样大家其实有很多链接
[00:52:32] 所以我觉得互相间的配合一定能比
[00:52:34] 两家不同的非生态的公司能合作
[00:52:38] 我觉得要顺畅很多
[00:52:39] 所以我自己其实比较喜欢两元这件事情
[00:52:45] 就是一二三我比较喜欢二
[00:52:48] 因为我总体觉得就像太极和阴阳一样
[00:52:52] 很多事本身就是正反两面的
[00:52:55] 就是两种体系如果能非常好地去构建
[00:52:59] 我觉得反而是能形成一些不一样的竞争力
[00:53:01] 我跟你聊天我会觉得
[00:53:03] 现在的运气好稳重也很现实
[00:53:06] 你觉得十年前的你是这样吗
[00:53:09] 十年前的我还没有经过这个现实社会的拷打
[00:53:14] 我觉得本质没有太大变化
[00:53:16] 坦诚讲可能表达方式更
[00:53:19] 因为我觉得坦诚讲
[00:53:20] 如果你有些东西没有经历过
[00:53:22] 其实你还是会对很多事情的难度的预判
[00:53:24] 是会有这个错误的判断的
[00:53:29] 那当你可能经历过一些之后
[00:53:31] 其实对这个事情的全貌更有些感觉
[00:53:33] 所以你会更加审慎一些
[00:53:35] 因为很多事情不到真正把这些事闭环之前
[00:53:39] 其实都不会太下太多判断
[00:53:42] 所以更多还是更加谨慎乐观吧
[00:53:47] 所以你一年是抱着一个什么样的心态开始创业的
[00:53:52] 这第一我自己感觉首先对我来讲
[00:53:54] 可能是先选的赛道再选的方式
[00:53:57] 赛道是AI
[00:53:58] 赛道是AI
[00:53:59] 就是我这辈子就是想做AI相关的事情
[00:54:01] AI吸引你到底是什么
[00:54:03] AI还是能够
[00:54:06] 我觉得第一我自己很幸运
[00:54:07] 就是说AI在
[00:54:09] 就如果AI其实没有这十几年的变化和发展
[00:54:12] 其实你会发现做AI其实也是一个很绝望的一件事情
[00:54:15] 因为技术没有变革
[00:54:17] 那现在的AI当大家真的看到AGI的曙光的时候
[00:54:20] 你首先做一个AI从业者首先是很兴奋
[00:54:22] AI我觉得会解决人类很多很本质的思考
[00:54:26] 其实关于自身的很多本质思考
[00:54:28] 对于生命是什么智能是什么
[00:54:31] 人类的来源和去处
[00:54:33] 这个问题我觉得都跟AI很相关
[00:54:35] 你自己困惑吗
[00:54:39] 我觉得不困惑吧
[00:54:40] 就是我觉得应该说是有极大的动力去
[00:54:44] 能了解更多
[00:54:45] 可能这可以是成为你自己生命的一个意义
[00:54:48] 因为这个问题足够重要
[00:54:51] 你当年接触AI是在
[00:54:54] 微软亚研院吗
[00:54:56] 我去很早我觉得其实坦诚讲可能很多男孩
[00:54:59] 这个看科幻电影看得多对吧
[00:55:01] 都会觉得
[00:55:02] 机器人AI
[00:55:03] 这些未来最重要的东西其实是很有意思的
[00:55:06] 我自己只是说可能比较坚持
[00:55:08] 所以我比如在读本科的时候
[00:55:10] 选专业的时候我当时就问过一个问题说
[00:55:12] 哪个专业跟AI最相关
[00:55:14] 当时这个
[00:55:15] 报名老师说自动化
[00:55:16] 所以我其实近清化大意是自动化
[00:55:19] 后来觉得自动化有点太偏
[00:55:21] 工业自动化偏硬一点
[00:55:23] 当时现在自动化可能也跟AI都一样
[00:55:26] 最后来我到了去了摇板
[00:55:28] 所以总体我自己是个目标感比较强的人
[00:55:30] 就是因为我想做这件事情所以
[00:55:32] 我就持续地去做
[00:55:33] 可能是离他更近
[00:55:34] 本账是这样
[00:55:35] 其实在本科
[00:55:38] 毕业那个阶段如果没有Deep Learning出现
[00:55:39] 我觉得那时候可能会去当老师
[00:55:41] 因为这个技术可能不足以去做工业场景的这些
[00:55:45] 真正去做成一家伟大的公司
[00:55:47] 会去当老师
[00:55:49] 走科研这条路线
[00:55:51] 很幸运那个时候毕业的时候我就有Deep Learning
[00:55:54] 包括那个时候有iPhone4
[00:55:56] 就是新的移动互联网的诞生
[00:55:58] 所以就投身了创业这个项目
[00:56:00] 所以我觉得创业是首的
[00:56:02] 那我就最终对AI
[00:56:04] 希望能把AI从技术从产品从客户价值上能做出
[00:56:07] 一些真的有价值的东西
[00:56:09] 这可能是我本质的追求
[00:56:10] 其实方式方法我觉得倒比较灵活
[00:56:12] 所以你觉得矿事满足了你这个心愿没有
[00:56:14] 满足了
[00:56:15] 完全满足了
[00:56:17] 可以没有完全满足
[00:56:18] 但完全满足我们就不用再创业
[00:56:21] 我觉得还是在
[00:56:22] 产品和商业角度吧
[00:56:24] 我觉得还是没有获得
[00:56:26] 我觉得是我们预期的一些
[00:56:28] 比较好的结果
[00:56:29] 从1.0到2.0切换的过程中
[00:56:31] 你有过非常沮丧的时候没有
[00:56:33] 没有
[00:56:35] 我觉得1.0 2.0是最早是
[00:56:38] 我觉得当年是我跟徐莉吃饭的时候说1.0 2.0
[00:56:41] 这也是个自嘲的过程对吧
[00:56:43] 就是
[00:56:44] 1.0同意
[00:56:46] 也没有觉得2.0比1.0强嘛
[00:56:47] 对就是
[00:56:48] 我觉得还是个连续性的
[00:56:50] 就是这个战局完全没有结束
[00:56:51] 只是大家
[00:56:53] 媒体要写的时候需要有一些标签嘛
[00:56:55] 对
[00:56:56] 你上次也提到说李一芳问你那个问题
[00:56:58] 就是如果把1.0重新来一次
[00:57:00] 你会
[00:57:00] 做的什么不一样
[00:57:01] 一样的东西吗
[00:57:02] 我觉得可能不会打安防
[00:57:04] 其实打安防也会导致我们当时
[00:57:06] 第一我觉得其实我们的人才不匹配安防这个行业
[00:57:09] 当时我们觉得安防是最大的这个领域
[00:57:11] 但是我觉得最后其实还是组织它本身的文化
[00:57:14] 和能力是不是匹配这个行业
[00:57:16] 安防领域我觉得我最敬佩的是海康威视
[00:57:18] 本身这个公司和团队我觉得都非常优秀
[00:57:22] 所以
[00:57:23] 我觉得这个当时还是年少轻狂
[00:57:26] 就是这场战我觉得不应该打
[00:57:28] 所以
[00:57:29] 其实我觉得人年轻的时候就是把把都会上
[00:57:31] 把把都会上
[00:57:33] 对就像打牌一样把把都上
[00:57:35] 其实就有些牌可以不上对
[00:57:38] 所以你最后会打那场仗是安防
[00:57:39] 对
[00:57:40] 然后我觉得应该把那个时间点
[00:57:44] 这个我觉得应该在等一等之后我觉得可以其实更早进入到车这个领域
[00:57:49] 理想时间是什么时间
[00:57:51] 理想时间
[00:57:52] 16
[00:57:54] 17年
[00:57:55] 我觉得可以进入到车这个大的赛道
[00:57:58] 我觉得差不多吧
[00:57:59] 我觉得只要不打安防这场仗我觉得就行
[00:58:01] 安防其实牵扯了很多团队的经历
[00:58:03] 对而且安防其实是对
[00:58:05] 整个组织的能力上其实还是有不同的构建
[00:58:08] 但我自己感觉打完安防这场仗其实对组织的锻炼也是很大的
[00:58:12] 所以我觉得其实从商业策略角度
[00:58:15] 我觉得可以
[00:58:16] 可能那几年我觉得可能
[00:58:18] 当时因为我们不管是金融领域还是手机领域其实后来
[00:58:21] 在1.0时代我觉得矿石做的都是最好的
[00:58:24] 所以这些领域我觉得可以再深耕一些
[00:58:26] 其实这些领域我觉得
[00:58:28] 也
[00:58:29] 做到了前两名
[00:58:30] 但是也没有做到
[00:58:31] 做到绝对第一
[00:58:32] 所以我觉得那个时候我就可以
[00:58:34] 慢一点扩张28说的已经有的
[00:58:36] 客户服务行业做好
[00:58:38] 然后可能再等到
[00:58:40] 我觉得甚至都不用到16 17年我觉得可能到
[00:58:43] 19年左右进车都来得及
[00:58:47] 我觉得现在也来得及
[00:58:48] 现在只是
[00:58:49] 可能绕了一个大圈吧
[00:58:51] 其实我跟矿石不管是你还有和联合创始人聊我会有一些感受
[00:58:55] 就比如说你们是从一年开始创业的然后你们其实是拿着
[00:59:00] AI的这个
[00:59:01] 技术指点一直在用锤子找钉子
[00:59:04] 包括你们为什么叫矿石也是因为
[00:59:06] 是mega face
[00:59:07] 所以我觉得你们很多动作都是想怎么把这个技术用进去比如说
[00:59:10] 包括你们最早开始做游戏其实也不是想把游戏做最好
[00:59:14] 而是想
[00:59:14] 就是把这个技术手段用进去
[00:59:16] 但是你觉得这个创业的思路你今天看是对的嘛
[00:59:20] 因为你想过去10年可能
[00:59:21] 就是吃了最大AI蛋糕的可能是像字节
[00:59:24] 是换方
[00:59:26] 是特斯拉这样从场景切入的公司他只是把AI当做一个手段
[00:59:30] 对
[00:59:30] 我觉得首先这里面从两个维度来看
[00:59:32] 第一个就是这群技术同学
[00:59:34] 就我们这群技术同学其实坦白讲他们
[00:59:37] 你要看他的人生成长经历他其实一直在学习
[00:59:40] 所以我觉得他们可能
[00:59:41] 是比较
[00:59:43] 跟
[00:59:43] 世俗的生活其实是有点脱离感的
[00:59:46] 所以就是说
[00:59:47] 跟世俗的生活有脱离感
[00:59:49] 对所以就我们对某个领域比如说所以某一个产品或每个行业其实没有那么
[00:59:53] 早期是没有那么大热情
[00:59:54] 你说打20多岁是吗
[00:59:55] 对就当年吧甚至很多人现在就是这样大家可能只是对技术对解题对这些
[01:00:00] 感兴趣对吧
[01:00:01] 就是
[01:00:02] 所以自然而然他不可能对某一个领域有那么强的感觉
[01:00:06] 或者那么强的passion
[01:00:08] 所以这个过程我觉得是绕不开的
[01:00:10] 但我自己感觉就是我们经历这个过程之后
[01:00:13] 就像你刚才讲的我觉得就是得双轮驱动就不光是技术驱动
[01:00:17] 最重要的还是要对
[01:00:18] 一类场景和用户
[01:00:20] 真的是需要能够服务好这类用户
[01:00:22] 打造好这个产品
[01:00:24] 这个我觉得还是非常重要的
[01:00:25] 这个可能也需要早期的这些技术的同学
[01:00:28] 可能更加有生活感
[01:00:30] 就是他
[01:00:30] 可能知道生活上他也有
[01:00:32] 有痛点想解决对吧他也有
[01:00:34] 某类好的产品的自己想去定义更好的产品
[01:00:37] 这个我觉得可能是一个人生的一个必经的过程吧
[01:00:40] 这可能是学霸的特点是吗
[01:00:42] 一部分学霸的特点
[01:00:44] 对其实学霸在我们这个领域其实是一个贬义词就是就是
[01:00:48] 学霸其实代表可能
[01:00:52] 代表过多的热爱学习
[01:00:54] 对不一定说学习好是过多热爱学习就是
[01:00:58] 我自己感觉就是可能
[01:01:00] 这样是一群技术同学他们去真正接触这个这个社会和世界
[01:01:04] 他们慢慢对商业对用户有感觉
[01:01:07] 慢慢在反向驱动
[01:01:09] 我觉得最终一定应该是以用户为中心的
[01:01:11] 所有的商业都应该是以用户为中心
[01:01:14] 然后技术会成为他们的一些底层的belief
[01:01:17] 然后成为他们解决问题时候的一些工具和手段
[01:01:21] 这样才会比较顺
[01:01:22] 就是你的联创他反思说你们当年不愿意就深入的做金融
[01:01:27] 不愿意深入的做游戏有可能也是一种ego
[01:01:29] 技术的ego你认同吗?
[01:01:30] 对我觉得那些领域所以为什么我觉得2.0坚定的要做2C
[01:01:34] 就是因为我觉得我们对2B这些行业
[01:01:38] 其实我觉得最后其实我们在这行业做了十年时间
[01:01:41] 我觉得也跟我们的客户形成非常好的一个共生的关系
[01:01:44] 但是谈一下你说从内心的passion角度我觉得
[01:01:47] 蛮难的我觉得是要把这些客户服务好
[01:01:50] 但是说只做这个领域我觉得可能
[01:01:52] 对我们来讲可能不是那个最终极的追求
[01:01:54] 所以2C是你一个很明确的要做的方向
[01:01:57] 就是现在的千里不能代表你们终端的所有的
[01:02:00] 对外的想象对吧?
[01:02:02] 对千里我觉得是从车的智能化开始切入
[01:02:05] 但比如我们做robotaxi的话
[01:02:07] 就是从技术到各个领域可能也慢慢会离C越来越近
[01:02:11] 其实C我觉得是两个维度
[01:02:12] 一个维度是这个场景
[01:02:14] 就这个需求是一个C端用户的场景
[01:02:16] 所以我们其实不管是
[01:02:17] 以2B的方式还是2C的方式最后是为C端服务的
[01:02:21] 这个我觉得现在是
[01:02:22] 都是这样的
[01:02:23] 指甲最后也是普通用户来用对吧?
[01:02:25] 第二种是商业模型商业模型是找B端去收费
[01:02:28] 还是最后从C端来去
[01:02:30] 收费这个我觉得可能是不同阶段
[01:02:32] 有不同的选择
[01:02:33] 那个张一鸣聊过吗?你觉得他有什么感受?
[01:02:36] 前段时间聊的比较多最近聊的没有那么多
[01:02:40] 一鸣还是非常非常厉害
[01:02:42] 这个对AI我觉得也很痴迷吧
[01:02:44] 你觉得他们的这种创业路径
[01:02:46] 和你们这种创业路径
[01:02:47] 就两种不同的人
[01:02:48] 你觉得差别是什么呀?
[01:02:50] 我自己感觉商业其实最终还是最好是从
[01:02:53] 一个商业的需求就用户头的需求
[01:02:56] 来出发这是最顺的
[01:02:58] 所以我觉得一鸣他们最早
[01:03:00] 其实从移动互联网时代看到这个大的机遇和好的产品
[01:03:03] 然后当这好的产品形成商业币房和费用轮之后
[01:03:07] 同时能够对技术
[01:03:08] 能有很持续的追求
[01:03:10] 我觉得这个模式是比较顺的
[01:03:12] 就像早年其实也有过有个争论是叫
[01:03:15] 叫贸供技还是技工贸
[01:03:17] 虽然是很老的话题但其实是
[01:03:20] 本质还是
[01:03:22] 这个不变的其实我觉得现在也不用
[01:03:25] 矫枉过正就首先从商业角度其实
[01:03:27] 以商业来牵引是没问题的
[01:03:30] 同时他对技术要持续有追求
[01:03:32] 我觉得还是两个轮子
[01:03:33] 来驱动的所以我觉得
[01:03:35] 华为跟字节都是很好的代表
[01:03:38] 我觉得都是从产品商业来驱动
[01:03:41] 但同时又对底层技术有持续的投入
[01:03:43] 这个我觉得是一个比较良性的状态
[01:03:45] 如果当我们说模型级产品的时候会不会改变这个联络
[01:03:49] 模型级产品这件事其实并不行
[01:03:52] 因为我认为不管是搜索引擎还是推荐引擎都是模型级产品
[01:03:55] 所以就是基本上这样
[01:03:58] 我觉得现在的大模型是第三代
[01:04:00] 所以做搜索的时候和做推荐的时候
[01:04:03] 你也一定要有产品
[01:04:05] 只是我认为现在这个大模型还没有到
[01:04:07] 第一个K-Lab真正爆发的阶段
[01:04:10] 所以你也说不是差Bot
[01:04:13] 然后我还有第二点感受就是
[01:04:16] 我觉得就是包括你刚才说你觉得没有去交
[01:04:19] 不应该打安防那一场仗
[01:04:20] 然后应该更早进车
[01:04:22] 其实于凯博士我之前聊过他是19年做了一个战略取舍
[01:04:26] 当然他们创业并没有完他15年才开始创业
[01:04:28] 然后15年到19年
[01:04:30] 就非常的煎熬找不到方向
[01:04:32] 因为他也进过安防但是没有打赢
[01:04:34] 可能尝试过但是小小尝试
[01:04:36] 他就觉得之前一直在扫射各个行业
[01:04:38] 然后没有在一个行业里去深耕
[01:04:40] 然后是19年初的时候
[01:04:42] 理想给了他一个建议
[01:04:43] 建议他all in汽车
[01:04:45] 然后他当时有了一大波的裁员
[01:04:47] 有了这个战略的选择
[01:04:48] 所以导致低迷线可能就是深耕智能驾驶更早一些
[01:04:52] 包括当时跟你们连创聊的时候
[01:04:54] 他复盘了你们的各个业务线
[01:04:56] 就包括有手机
[01:04:58] 有那个
[01:04:59] 珠宝这种
[01:05:00] 金融的身份认证业务有安防
[01:05:02] 然后有机器人有支架
[01:05:03] 他也觉得就是
[01:05:04] 你们在各个领域
[01:05:05] 全线开花
[01:05:06] 一直做加法舍作的不够
[01:05:08] 所以会导致
[01:05:09] 就是每个方向的压强给的都不够
[01:05:13] 毛细血管
[01:05:14] 就扎了一点血
[01:05:15] 他的复盘是对的吗
[01:05:16] 是的
[01:05:17] 那这会不会是AI很多公司的现状
[01:05:19] 对200也是这样
[01:05:21] 很多公司都这样
[01:05:23] 所以如果重新来一次的话你会
[01:05:25] 舍哪些
[01:05:26] 你刚才说要舍掉安防
[01:05:28] 对
[01:05:29] 我觉得比如说我们
[01:05:30] 金融跟手机这个业务做的都不错
[01:05:33] 所以
[01:05:34] 我觉得可能那里面还有一个底层原因
[01:05:36] 是因为我们觉得那个不够大
[01:05:37] 哪个不够大
[01:05:38] 就原来这些
[01:05:40] 每一个锤类不够大
[01:05:41] 所以一直想找
[01:05:43] 找更大的
[01:05:44] 所以这个可能也是
[01:05:45] 找更大的
[01:05:46] 对
[01:05:46] 所以这也跟
[01:05:47] 当年创业的第一阶段吧
[01:05:50] 可能内心意图比较大于我
[01:05:54] 你觉得这里面哪个是最大的
[01:05:57] 当年可能觉得安防最大
[01:05:58] 所以才打安防这样找
[01:06:00] 对
[01:06:00] 所以兵力清洁了很多给了安防
[01:06:02] 对
[01:06:04] 然后后来发现为什么攻不下来呢
[01:06:07] 我觉得安防是一个
[01:06:09] 安防本质上是一个看似是2B
[01:06:12] 但其实
[01:06:13] 是一个以2G为核心的市场
[01:06:16] 就是这基本上是以政府和政府相关的SOE
[01:06:19] 往外延展的这样一个
[01:06:21] B端市场
[01:06:23] 当然这里面其实也分为这个市场和一些
[01:06:25] 一面向渠道和分销的一些
[01:06:27] 所谓的中小比市场
[01:06:29] 这个市场其实它还是
[01:06:31] 营销
[01:06:34] 营销的占比非常非常高
[01:06:36] 同时在这里面谈的讲这里面也是我们软硬件结合
[01:06:39] 其实在硬件上我们之前
[01:06:40] 我们其实在原来的1.0时代非常坚持软硬结合的
[01:06:44] 硬件作业比较多
[01:06:46] 但整个硬件其实我们当时理解也非常浅
[01:06:48] 因为硬件它不光是一个产品
[01:06:51] 它其实是一个从供应链
[01:06:52] 到研发带到
[01:06:54] 市场go to market的一个全链条
[01:06:56] 所以我觉得硬件理解比较粗浅
[01:06:59] 所以我觉得我们
[01:06:59] 可以说技术上我们是掌握了那个
[01:07:02] 这个增量
[01:07:03] 因为有AI跟原来安排的结合
[01:07:06] 但是从产品角度和市场角度我觉得都不占优势
[01:07:09] 我们中间也有一段窗口期
[01:07:12] 那段窗口期其实
[01:07:13] 因为那段窗口期里面其实AI1.0公司也有不同的商业选择
[01:07:18] 比如说我们可能
[01:07:19] 选择的是自己去做完整的解决方案
[01:07:21] 也有公司可能只选择去提供一项技术
[01:07:24] 来赋能这些
[01:07:25] 这些已有的这些玩家
[01:07:28] 所以
[01:07:29] 基本上在每个AI
[01:07:30] 战场上都会这样就是有人是去
[01:07:32] 赋能的角色
[01:07:33] 有人是要自己想去
[01:07:34] 做完整这个闭环的
[01:07:36] 那就得看你的技术的撬动力足不足不大
[01:07:39] 能不能让你在那个时间窗口期能够打赢
[01:07:42] 你有的玩家
[01:07:43] 所以我觉得最后
[01:07:44] 其实如果现在回头来看的话其实是
[01:07:47] 挑战是非常大的
[01:07:48] 最后结果也比较难
[01:07:49] 更好的选择会是什么呢如果以今天
[01:07:52] 更高的认知来看
[01:07:54] 更好的选择我觉得第一还是要回顾
[01:07:57] 之前说战略就要
[01:07:58] 想做能做可做
[01:08:00] 这三个之间的交集
[01:08:01] 首先我觉得就是想做还是很重要
[01:08:04] 因为想做会让你对这个
[01:08:06] 行业或者这个产品会能够持续投入
[01:08:09] 你不想做你做一会你可能又
[01:08:11] 其实我之前一直也被内部团队讲说
[01:08:14] 做安防老是做着做着又
[01:08:16] 又想往外这个撤对吧所以
[01:08:20] 就内心不想做
[01:08:21] 安防这个行业本身我觉得是非常好的行业也
[01:08:24] 在国内和世界上市场也很大
[01:08:27] 但我觉得可能
[01:08:28] 内心确实
[01:08:29] 不够想做
[01:08:30] 也没有排斥但是不够想做
[01:08:31] 对吧
[01:08:32] 然后能做代表你其实
[01:08:34] 这个行业本身你的核心的基因和能力能够撬动比如说刚才讲的比如在安防领域里面
[01:08:39] AI的能力
[01:08:41] 硬件的能力和市场能力我们可能三个里面只占其一
[01:08:44] 这其一里面所以可能它就只有一个窗口期
[01:08:47] 在这个窗口期间你需要补另外两项能力这两项能力其实也是要管理
[01:08:51] 其实有很多很多很复杂的东西不是
[01:08:54] 很多东西是时间不可压缩的
[01:08:56] 所以
[01:08:57] 也比较难
[01:08:58] 所以就是能做吧
[01:09:00] 可做我觉得是源于外部的市场环境到底有没有在这个环境给你这个机会
[01:09:04] 所以
[01:09:05] 坦诚讲
[01:09:06] 本身AI这样一种大赛道
[01:09:09] 其实
[01:09:10] 得
[01:09:11] 等待这样这三个的交集
[01:09:13] 这个交集不是一直出现
[01:09:14] 所以等待这个交集你有机会抓住
[01:09:17] 那可能就能够有一些阶段性的结果
[01:09:21] 过去10年如果只打一场仗应该打哪场
[01:09:23] 过去10年只打一场仗
[01:09:26] 我觉得应该打车这场仗
[01:09:28] 那你们怎么保证
[01:09:30] 11年到16年
[01:09:31] 的生存问题
[01:09:32] 对
[01:09:33] 那就得
[01:09:34] 得
[01:09:35] 得看融资和讲故事能力了
[01:09:37] 但所以这里面就一样就是你得很坚定在一个赛道上同时你还能活到那个阶段
[01:09:43] 其实前面就是靠等
[01:09:45] 对
[01:09:46] 所以过去10年的AI如果只打一场仗应该打车
[01:09:48] 对
[01:09:49] 那个all in只能驾驶
[01:09:51] 那你觉得在过去10年中有机会做这样的选择吗
[01:09:54] 有啊有很多这样的选择只是
[01:09:58] 我只是没有做确认
[01:10:00] 什么时间是最好的取舍时间
[01:10:04] 我觉得是19年20年前后吧
[01:10:06] 就是我说于凯他们做那个抉择的
[01:10:10] 可能可以比他们晚一点我觉得可以再晚一两年都来得及
[01:10:14] 为什么没有做抉择呢
[01:10:16] 我觉得创业是有很大的惯性的
[01:10:18] 然后你在那个阶段包括
[01:10:20] 有资本市场的想法
[01:10:22] 所以大家肯定
[01:10:23] 当时我觉得大家目标还是很想
[01:10:25] 去上市形成一个本雷达
[01:10:28] 对吧大家就觉得
[01:10:29] 资本市场总是感觉是一个目标
[01:10:31] 但其实回头看资本市场是一个
[01:10:33] 很关键的活下去的一个中间节点
[01:10:36] 但上市真的
[01:10:38] 不会改变任何本质的东西
[01:10:40] 本质应该是什么
[01:10:41] 本质我认为还是
[01:10:42] 还是业务
[01:10:43] 就是你真正
[01:10:44] 好的产品
[01:10:45] 然后好的经营产生好的利润
[01:10:48] 然后这个利润能够反哺你持续做好的技术
[01:10:51] 形成这样一个更良性的循环
[01:10:53] 上市不应该成为一个目标
[01:10:55] 对上市
[01:10:57] 大家都这么说
[01:10:58] 但是很难对吧
[01:10:59] 就是
[01:11:00] 为什么很难
[01:11:01] 我没有身在其中我感受不到
[01:11:04] 因为你为了上市你其实要做很多
[01:11:07] 你要放弃很多
[01:11:08] 正确的事情
[01:11:09] 比如说你需要
[01:11:11] 更专注在业绩上
