[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 一位00后的华人女孩 名字叫洪乐彤
[00:00:33] 她的探索方向是AF4Net
[01:57:56] mac creat Is another
[01:57:58] 从我们种子的开始
[01:57:59] 对我们提供非常多帮助的一个
[01:58:01] 一个投资人
[01:58:02] 然后他也是本来是
[01:58:04] 他是一个电气工程的PhD
[01:58:07] 和物理的本科
[01:58:08] 然后他是一个非常technical
[01:58:11] 非常有一点nerdy
[01:58:12] 非常有意思的一个operator
[01:58:15] 他非常的就是founder spirit
[01:58:17] 然后同时Melo
[01:58:19] 又是Anthropic的
[01:58:21] 最大的institutional
[01:58:22] investor
[01:58:24] 然后我们是Melo Ventures
[01:58:27] 在这个
[01:58:28] Ventures这一部分
[01:58:30] 继Anthropic之后第二大的
[01:58:33] AI投资
[01:58:35] 他们为什么愿意
[01:58:38] 为什么愿意
[01:58:40] 我觉得他们其实种子轮可能就想投
[01:58:42] 但我们当然种子轮就是认识的时候比较晚
[01:58:44] 就是已经差不多
[01:58:46] 就定下来了
[01:58:47] 然后我觉得我们在六个月里面
[01:58:50] 这个团队
[01:58:51] 执行的快转
[01:58:53] 这个团队在这个六个月的执行中
[01:58:56] 持续表现没有失误
[01:58:58] 而且他们在从零
[01:59:01] 从什么都没有
[01:59:02] 就是第一个月搭所有的infrastructure
[01:59:04] 然后完了之后开始去
[01:59:06] train模型搭系统
[01:59:08] 然后去做这一些决定
[01:59:10] 就是deterministic
[01:59:11] 确定性的tooling
[01:59:13] 而不是用令这个编程语言去写
[01:59:16] 所有的这个东西是一个非常
[01:59:17] 我觉得是spectaculously executed的
[01:59:20] 一个非常完美的呈现的一个工程项目
[01:59:22] 然后在四个月的时候拿到了
[01:59:24] 普特兰的满分
[01:59:25] 然后在六个月的时候去
[01:59:27] 做出了许多的工程项目
[01:59:28] 做了许多研究问题
[01:59:30] 没有许多一批
[01:59:31] 三四个研究问题的解决
[01:59:34] 然后是没有人类干预的
[01:59:37] 第一个自动形式化证明系统
[01:59:40] 达到这样的一个里程碑
[01:59:42] 然后又发现了一些
[01:59:44] 在代码证明中的一些神奇的transfer learning
[01:59:47] 就是原来这样的一个AI数学家
[01:59:49] 能够在代码的验证中
[01:59:51] 达到一个非常好的一个表现
[01:59:54] 在一个Varina benchmark中
[01:59:56] Deep Sea Cruiser达到了11%
[01:59:58] 当然这是一个很好的表现
[01:59:58] 老板的Deep Sea Cruiser了
[01:59:59] 我们达到了98.93%
[02:00:02] 对就是原来的这一个
[02:00:03] 解决普特兰的这个数学系统
[02:00:06] 所以他是主动pitch的你
[02:00:08] 我们就是大家都经常
[02:00:12] 有时候会定期会见面
[02:00:14] 毕竟他们是我们种子轮的
[02:00:16] 一个小的一个
[02:00:17] 他们种子轮放了
[02:00:18] 他们是我们种子轮
[02:00:19] 1%的投资人
[02:00:20] 然后现在是
[02:00:22] 当然作为领头
[02:00:24] 整个过程
[02:00:25] 整个过程当然会更加的
[02:00:26] 更加的多几步
[02:00:28] 但是我们的
[02:00:28] 对
[02:00:28] 这一轮融资的估值是16亿美金
[02:00:31] 对
[02:00:32] 已经达到了一个独角兽的标准
[02:00:34] 融了多少钱
[02:00:35] 我们融了有至少是2亿美金
[02:00:39] 2亿美金
[02:00:39] 这个过程中
[02:00:42] 其实你们团队很多人都
[02:00:44] 就是看起来经验都比你丰富很多
[02:00:46] 然后包括也有非常知名的数学家的加入
[02:00:49] 为什么他们都愿意让你来做CEO
[02:00:51] 你刚才也说你是一个最年轻的一个
[02:00:53] 然后也没有任何的tech-led的背景
[02:00:56] 他们为什么对此没有顾虑
[02:00:58] 我也不知道
[02:00:59] 我也每天在想这件事情
[02:01:01] 就是可能
[02:01:02] 可能他们也没有意识到
[02:01:04] 我也没有意识到
[02:01:05] 反正就是大家就一起在执行
[02:01:07] 然后现在的一个设定
[02:01:08] 就是所有的
[02:01:10] 所有的一些比较strategic的一些事情
[02:01:14] 其实就会就是route到我和叔狗这里
[02:01:17] 对
[02:01:17] 所以我们其实能够使得研究者和工程师们
[02:01:21] 有很好的一个环境
[02:01:23] 可以去就是在没有任何politics
[02:01:27] 没有任何人事纠纷的情况下
[02:01:28] 去纯心的去就是纯粹的去
[02:01:32] 最新的技术上
[02:01:34] 然后就是去执行
[02:01:35] 所以我觉得这是一个很好的一个frontier lab的一个环境
[02:01:38] 然后我觉得还有一个就是这个
[02:01:41] 这个问题它是一个非常有意思的问题
[02:01:43] 它非常的宏大
[02:01:45] 它也非常的困难
[02:01:46] 然后这个事情又有很多很明显的一二三四五
[02:01:50] 为什么这些技术上会难做
[02:01:52] 但为什么这些通过好的
[02:01:53] 就是engineering都能够去解决
[02:01:55] 所以我觉得大家其实是被这个问题
[02:01:58] 这个北极星去吸引
[02:02:00] 对
[02:02:01] 我只是那个地水的人
[02:02:02] 对
[02:02:03] 你们也算是现在的一个new lab对吗
[02:02:06] 我们是在那个tbpn和这个didi的这个new lab名单上
[02:02:10] 确实是
[02:02:11] 对
[02:02:11] 你怎么理解
[02:02:12] 也就是在相同类似时间内成立的这一波new lab
[02:02:16] 对
[02:02:17] 我当时融资的时候还没有new lab这个概念
[02:02:20] 所以
[02:02:21] 低了融资的时候
[02:02:22] 对对对
[02:02:23] 所以就是他们就觉得我疯了
[02:02:26] 就是疯了
[02:02:27] 投资人
[02:02:27] 哦
[02:02:28] 就是他们他们就是可能就是觉得
[02:02:32] 这是什么呢
[02:02:33] 就是当时而且还有一件事情
[02:02:35] 二月份的时候deep seek出来了
[02:02:36] 当时大家对模型这两个字就非常的恐慌
[02:02:40] 大家一听模型哎不赚钱不要偷
[02:02:42] 就是模型啊
[02:02:44] 这个感觉模型还不如一个consumer产品有mode
[02:02:47] 但当时大家是这样的一个市场的一个
[02:02:49] 为什么因为deep seek把价格拉的非常的低
[02:02:52] 对他commoditize了模型
[02:02:54] 所以说大家都不想投模型了
[02:02:56] 然后但是大家没有意识到一件事情
[02:02:57] 我们不是一个模型了
[02:02:58] 我们不是一个模型公司
[02:02:59] 我们是一个deep tech公司
[02:03:00] 我们是一个深科技公司
[02:03:02] 我们做的这件事情有点像spacex
[02:03:05] 为什么你们不是模型公司
[02:03:07] 你们偶像当业训练一个数学的数学家大脑啊
[02:03:10] 对就是另吧
[02:03:11] 他有一个很古老的一个背景
[02:03:14] 就是这一些做program synthesis
[02:03:17] 我查了一下这个中文怎么说叫做程序综合
[02:03:21] 我也不知道这个对不对
[02:03:23] 然后program verification就是程序验证
[02:03:26] 就是他来自于这样的一个呃
[02:03:28] 古老的一个领域
[02:03:29] 然后另作为一个形式化语言
[02:03:31] 他目前就是在呃公开的这个呃呃的呃
[02:03:36] 抖面的的领域的网上的这个这个总的这个tokens
[02:03:40] 这个就是自服穿的这个这个这个这个就是不太大
[02:03:45] 就他是一个非常小的一个一个数据数据集
[02:03:48] 所以说就是会遇到很多的问题
[02:03:50] 比如说你怎么样能够做一个internet scale
[02:03:52] 一个一个互联网这么大的像像有多少python
[02:03:56] 就有多少令这样的一个一个一个数据集
[02:03:57] 这样的一个一个一个数据集
[02:03:58] 的这样的一个扩充呢
[02:04:00] 这是这是一个不太不太清楚的一个问题
[02:04:03] 啊令他作为一个编程语言
[02:04:05] 又带有自我验证的这样的一个性能
[02:04:08] 有点像呃既是一个c既是一个c这个编程语言
[02:04:12] 又是gcc compiler和c runtime
[02:04:14] 两者合一
[02:04:15] 他是一个非常finicky
[02:04:17] 也就是说非常脆弱的一个语言
[02:04:19] 他的这个呃他有很多的限制
[02:04:23] 他有很多的就是作为里面的这个object
[02:04:27] 他必须要符合
[02:04:28] 一些种种种种的这个限制
[02:04:30] 他所以他是在作为一个令他本身又带来这些挑战
[02:04:35] 然后呢另里面又比如说我想去验证一个东西
[02:04:38] 他真的是在证明没有给我就是作为作弊
[02:04:42] 作弊比如说我假设公理n加n等于n证明二加二等于二
[02:04:46] 你知道二加二等于四
[02:04:48] 这一定不是一个合法的一个一个一个运算
[02:04:51] 那么呃我如果要去找一个东西能够去证明
[02:04:55] 他是严丝合缝的叫verify proof
[02:04:57] verify proof这个
[02:04:58] 东西原来叫做community里面用的叫做comparator
[02:05:02] comparator这个是比这我们现在我们自己的这个verify proof
[02:05:06] 慢一百倍的
[02:05:07] 也就是说在我们刚开始的时候
[02:05:08] 我们必须自己要造一个快的东西
[02:05:10] 不让我没法跑
[02:05:11] 我们造了大概十二十三个这一些这一些能够辅助这个令能够更好的去去去去执行的呃的不管是生成还是验证的的的这些工具
[02:05:23] 然后呃呃我们知道说alpha proof用的是这个蒙
[02:05:27] monty carlo
[02:05:28] tree search蒙蒂卡罗数呃搜索呃我们觉得这个太贵了我们看一下我们有多少钱我们觉得我们做不了这个蒙蒂卡罗数我们有得找别的办法这个最后其实和呃国内这个字节都不好感觉他们seed prover做的这个有点相似这个系统的这个design对我没有理解你为什么说你们公司更像space x呃因为我们有很多的这些技术壁垒呃而其实某种程度上如何去训练一个模型当然说更高更快更强然后又有
[02:05:58] 很多的一些呃呃大家的一些secret
[02:06:01] souls我们这个问题可能在就是他遇到的这个科技挑战上时间会更长我们至少在种子轮的时候是觉得我们的rnd cycle是会飞的拖的非常长的我们主要的这一个竞争对手呃我们当刚开始的时候是他们五分之一只容了他们五分之一的资产我们的估值也是他们的五分之一然后他们比我们早开始两年就是tudor的这个公司然后他们用了两年的时间才到
[02:06:28] imu的这个这个呃六道题里做了五道题我们觉得至少得花我们很长的一年班一年但我们没有想到说四个月我们就往这个普特南冲我们做出来一个满分然后接下来冲这个研究的一些问题其实都是世界各地的数学教授给这个小爷爷肯老师他发邮件说就是呃以色列有一个techneon这个大学的呃lgfell这个老师给
[02:06:58] 呃给can发了一个邮件然后这就是falcon jackson
[02:07:01] 呃然后那个canribbit和can又有一些交流然后有这个partial vendiver大围城这个波士顿的一个一个一个一个呃代数代数集合学家他他又有这个一篇文章反正就是我们其实某种程度上在很大的压缩这个事件这其实导致我们也有一些infra上的一些债要还所以我们现在也有在还一些infra的债
[02:07:27] 小爷肯老师
[02:07:28] 对你们团队来说是一个非常有呃标志性意义的人对他像是一个他的性格是一个高中的篮球队教练哦他的性格是一个就是他会给所有人就是就加油助威然后让大家就是非常呃兴致勃勃的呃乐观向上的去去去去去做我们手上的任务的这样的一个人是你找他还是他找你啊他是你之前老师对吧对他给我发了一封邮件
[02:07:52] 呃结婚
[02:07:53] 就是你项链融资已经公布了对吧
[02:07:57] 他是对但是
[02:07:58] 11月
[02:07:58] 我们我们我们之前就有邮件的一些就是交流
[02:08:03] 但是当时邀请他了吗
[02:08:04] 没有
[02:08:05] 不敢对吧
[02:08:06] 不敢我也不敢问叔伯
[02:08:07] 我我不太敢
[02:08:08] 就是对
[02:08:10] 呃
[02:08:10] 叔伯自己告诉你他要来的
[02:08:12] 其实我觉得融资也是这样
[02:08:13] 我不太敢
[02:08:14] 要钱
[02:08:15] 就是我是
[02:08:16] 我是说你
[02:08:17] 我没有办法去说服你
[02:08:19] 你只能自己说服自己
[02:08:20] 如果你想做这件事
[02:08:22] 我也想做这件事
[02:08:23] 我们可以一起做这件事
[02:08:24] 对
[02:08:24] 但我不希望
[02:08:25] 我万一开始引导你
[02:08:27] 我有可能会误了
[02:08:28] 你就是这个大家要
[02:08:29] 大家都是成年人自己做一些有趣的选择
[02:08:32] 然后一起去
[02:08:33] 去去去去承担这个选择的风险
[02:08:37] 所以你们叔伯的过程跟像是我
[02:08:38] 我一直在告诉你我在创业的进展
[02:08:40] 然后你等他自己说我要来
[02:08:42] 我知道他是一个呃工业界元老
[02:08:45] 毕竟你在director这个level上
[02:08:48] 我觉得可能也有很多项目
[02:08:50] 我怀疑交付的时间会是比较长的
[02:08:53] 对
[02:08:53] 但后面这个fear
[02:08:54] 他后面就是这个组织
[02:08:56] 呃很多的人
[02:08:57] 都离开了
[02:08:58] 对对所以他是自己跟你说他要来
[02:09:01] 对他是怎么跟你说的
[02:09:03] 叔伯就是在worth咖啡店说的
[02:09:05] 他怎么说的呢
[02:09:06] 他就说好多好的人都走了
[02:09:08] 感觉这个地方不太像是以前的地方
[02:09:10] 然后呢
[02:09:11] 然后就是你要一起做吗
[02:09:12] 我说好
[02:09:13] 那个时候你已经融到了
[02:09:16] 呃对
[02:09:16] 二月对吧
[02:09:17] 对已经有一个offer了
[02:09:19] 对
[02:09:19] 嗯
[02:09:20] 然后他有跟你谈条件吗
[02:09:22] 就正常吧
[02:09:24] 就大家就是按照标准的来
[02:09:26] 你当时是在哪里
[02:09:27] 什么心情
[02:09:28] 我挺高兴的
[02:09:30] 我觉得挺高兴的
[02:09:30] 因为我觉得感觉一个人做这个事情比较孤单
[02:09:33] 你有预感到他会来吗
[02:09:34] 我有预感到
[02:09:35] 但我我们当时
[02:09:36] 我当时想如果他来应该一年后来
[02:09:39] 就我们可能
[02:09:40] 我我总觉得就是
[02:09:41] 其实我现在对我们的公司
[02:09:43] 现在的一些新加入的这成员
[02:09:45] 我总一直我总有一种就是
[02:09:46] 我感觉我们就是我们希望我们能够把我们做的做的最好
[02:09:51] 让我们能配得上他们的这种价值
[02:09:53] 所以我当时想一年了
[02:09:55] 这个可能做出来一些小成绩
[02:09:57] 然后这个叔伯可以拿来做这个事情
[02:09:57] 来指点精神
[02:09:58] 把我们就是往上再做一步
[02:10:00] 当然是这样一个想法
[02:10:01] 那你的老师呢
[02:10:04] 老师对
[02:10:05] 他给我写了一封邮件
[02:10:06] 11月底
[02:10:07] 非常怪的一封邮件
[02:10:08] 他大概意思说他要来湾区
[02:10:09] 我说啊你要来湾区
[02:10:11] 然后他说
[02:10:12] 如果他加入了OpenAI或者是DeepMind的话
[02:10:17] 我不应
[02:10:18] 就是他希望我有一个心理准备
[02:10:19] 然后我心想
[02:10:21] 你要加入OpenAI和DeepMind
[02:10:23] 那你为什么不来我这里
[02:10:24] 然后我就说你可以来我这里
[02:10:26] 然后这个时候
[02:10:27] 跟他说过这个话是吗
[02:10:28] 没有
[02:10:29] 我但是我
[02:10:31] 但我也就觉得
[02:10:31] 你如果能够去加入OpenAI和DeepMind
[02:10:33] 我觉得你可以来我们这里
[02:10:35] 我觉得我们
[02:10:36] 他说那句话是在暗示你吗
[02:10:38] 就是说
[02:10:39] 他是真的
[02:10:39] 我觉得需要一些建议
[02:10:41] 他当时OpenAI可能给了他一个offer
[02:10:44] 那为什么他说的是
[02:10:45] 你要有心理准备
[02:10:46] 就是因为我们他
[02:10:48] 我们知道我们
[02:10:49] 他知道我有这样一个公司吗
[02:10:51] 有可能会
[02:10:52] 可能会有一些竞争关系
[02:10:54] 对吧
[02:10:54] OpenAI的AI for Mass的
[02:10:55] 这样的一个division
[02:10:56] 可能和action
[02:10:57] 有一个战略竞争关系
[02:10:59] 他可能作为我们的
[02:11:01] 我们是朋友嘛
[02:11:02] 他不希望我很突然的听到这一个消息
[02:11:05] 就是他在给一个竞争对手进行工作
[02:11:07] 所以他希望他能告诉我
[02:11:09] 说可能这是他的一个选择
[02:11:10] 也希望我能够理解
[02:11:11] 然后我说那来action
[02:11:13] 然后结果就谈得非常快
[02:11:15] 非常好
[02:11:16] 他是来玩具跟你谈的
[02:11:17] 还是线上自动谈的
[02:11:18] 没有就这么谈的
[02:11:19] 我当时就
[02:11:20] 我当时飞得乱七八糟
[02:11:22] 11月底12月
[02:11:23] 我是从这飞到了
[02:11:25] 飞到了拉斯维加斯
[02:11:27] 是re-event
[02:11:27] 然后飞到了这个Neurips
[02:11:29] 我们在那个Neurips
[02:11:30] 赞助这个AI for Mass的workshop
[02:11:33] 然后我们有一个就是活动
[02:11:35] 可以就是招聘的一些活动
[02:11:37] 我就在San Diego
[02:11:38] San Diego回来
[02:11:39] 然后是这个
[02:11:40] 就一堆一堆事
[02:11:42] 你怎么说服他呢
[02:11:44] 在你那个Zoom会上
[02:11:46] 你说你对
[02:11:47] 对比OpenAI你的优势是什么
[02:11:49] 我当没sell他
[02:11:53] 我就说我们非常的就是
[02:11:55] 我们也open你来
[02:11:57] 然后
[02:11:57] 你可能还是得去open来看一看
[02:12:00] 如果你能有时间来我们这边看一看
[02:12:02] 结果他没时间来我们这一看
[02:12:03] 我觉得肯定凉了
[02:12:04] 你想他来完去
[02:12:05] 他就直接去openAI
[02:12:07] 然后就飞走了
[02:12:08] 他没有在我们这
[02:12:08] 那可能说明我们没有什么机会
[02:12:10] 结果他来了
[02:12:11] 他来你公司了
[02:12:12] 对
[02:12:13] 他是来你公司跟你谈好的
[02:12:14] 对
[02:12:14] 没有他没有来我公司谈好
[02:12:16] 就是他在Zoom上我们就定了
[02:12:19] 你截胡了OpenAI
[02:12:20] 对
[02:12:21] 你怎么说服他了呢
[02:12:23] 他被什么打动了呢
[02:12:25] 我觉得首先他觉得我们的
[02:12:27] 就是这个团队更数学
[02:12:29] 这是一个事情
[02:12:30] 就是我怀疑发生的事情
[02:12:33] 就是他去了OpenAI之后
[02:12:35] 可能觉得那边比较
[02:12:37] 做数学的同学不是特别多
[02:12:39] 来我们这边的话
[02:12:40] 可能有更多就是数学的一个氛围
[02:12:42] 这个公司的DNA和专注点就是数学
[02:12:46] 而不是一个general的AGI
[02:12:49] 然后数学是其中一个部分
[02:12:51] 可能更有marketing的成分
[02:12:53] 小野肯被我认为是继承了
[02:12:57] 拉玛努金精神的现在数学家之一
[02:12:59] 而且他之前说他根本不相信AI会超过自己
[02:13:03] 然后后来他内心发生了变化
[02:13:05] 可能这是他联系你的一个契机
[02:13:07] 我觉得是对
[02:13:09] 他有跟你说过他这个认知是怎么发生变化的吗
[02:13:13] 他有说对
[02:13:14] 然后我其实记得就是我们当时聊的特别的仓促
[02:13:19] 因为这就是一个截胡
[02:13:20] 对
[02:13:21] 多长时间
[02:13:21] 就是两三天内
[02:13:25] OK
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:26] 对
[02:13:27] 对
[02:13:27] 对
[02:13:27] the offer 要要要要要要爆了
[02:13:29] 就爆炸
[02:13:29] Explode
[02:13:30] 那我们这边我觉得还有一个很大的原因
[02:13:33] 肯加入是因为Francois Charton
[02:13:35] Francois Charton是AI for数学的这个
[02:13:38] 的2019年
[02:13:41] Francois和Gilliam Lample
[02:13:42] Mistral的这个chief scientist co-founder
[02:13:45] 他们一起写了一篇文章叫做
[02:13:47] Transformer可以在微积分上
[02:13:51] 在在integration上
[02:13:52] 能够比一些像Mathematica
[02:13:54] MathLab这些电脑系统要
[02:13:56] 电脑代数系统要做得好
[02:13:58] 然后
[02:13:59] 从那开始
[02:14:01] Francois就一篇又一篇的去
[02:14:03] 去做了非常多重要的文的的工作
[02:14:06] 去去让这个AI解决各种各样的
[02:14:09] 就是specialized的
[02:14:10] 就是特殊的数学问题
[02:14:12] 然后
[02:14:13] 在AI for math这个领域里面
[02:14:16] 我觉得就是Can还有Francois
[02:14:18] 他们肯定是对对方也非常信心详细
[02:14:21] 然后Francois作为我和Suber之后
[02:14:23] 第三个来加入我们的
[02:14:24] 就是我们我们这个团队的
[02:14:26] 他们就有一个很大的
[02:14:26] 有很多的共同语言
[02:14:28] 然后事实上现在Can加入之后
[02:14:30] 又有Evan啊
[02:14:31] Kenny啊
[02:14:32] 就变成了一个
[02:14:33] It's called a math club
[02:14:34] 就是我们这里有一个数学俱乐部
[02:14:36] 大家都有很多可以聊得来的东西
[02:14:38] 然后他也给了我们这个Action Prover
[02:14:41] 去解决哪一些问题
[02:14:43] 选择这个问题
[02:14:44] 给了很多很不错的建议
[02:14:46] 我想多问一个关于小约肯的问题
[02:14:50] 他是个什么样的人
[02:14:51] 他就是
[02:14:52] 我这那个高中篮球教练
[02:14:53] 他就是特别特别乐观
[02:14:54] 特别
[02:14:56] 特别就是让人
[02:14:59] 你跟他聊
[02:14:59] 你就会觉得
[02:15:00] 哎呀我本来就很想做这件事情
[02:15:01] 我现在更想做这件事情了
[02:15:03] 所以他是我们特别好的一个
[02:15:04] 文化上的一个增加
[02:15:07] 然后他也是
[02:15:09] 当然是一个非常好的数论学家
[02:15:10] 他在这个划分函数领域里面
[02:15:12] 就是非常年轻
[02:15:14] 做出来非常好的成就
[02:15:15] 然后他也是一个很好的研究导师
[02:15:18] 他带我做了很多文章
[02:15:20] 然后还有很多其他
[02:15:22] 他这个REU的同学
[02:15:24] 都成为了不错的数学学者
[02:15:26] 他是个直觉派的数学家吗
[02:15:28] 这个我倒是不知道
[02:15:32] 这是一个非常好的问题
[02:15:34] 我觉得他应该比我更直觉派
[02:15:36] 对
[02:15:37] 但是我比如说
[02:15:38] 我们就是合作的过程中
[02:15:40] 像我一个合作者张胜彤
[02:15:42] 他就是比
[02:15:43] 肯定是比这个我和Kent
[02:15:46] 他比我们两个都要直觉性
[02:15:48] 所以就是Kent
[02:15:49] 我觉得在二者之间
[02:15:50] Kent的这个
[02:15:51] 我理解了
[02:15:52] Kent的这个神奇的能力在于
[02:15:54] 他是理论建造者
[02:15:56] 数学里面大概分两种
[02:15:59] 一种叫解决问题者
[02:16:01] 一种叫理论建造者
[02:16:02] 他能够把不同的领域的东西
[02:16:04] 去连接起来
[02:16:07] 然后有一个完全全新的视角
[02:16:08] 看一个问题
[02:16:09] 他能够去发现很好的问题
[02:16:11] 并且给其他可能更善于解题的同学们去做
[02:16:15] 他会觉得
[02:16:17] 他从学校放弃了终身教职
[02:16:21] 加入一个学生创业的公司
[02:16:23] 他会觉得
[02:16:24] 有某种奇怪的感觉
[02:16:26] 我没觉得
[02:16:28] 我觉得Kent反正和我
[02:16:29] 我们两个都是比较叛逆的人
[02:16:32] 对
[02:16:32] 就是我觉得Kent
[02:16:34] 他在数学教授
[02:16:36] 他同时又是美国奥林匹克游泳队的教练
[02:16:40] 去给他们分析游泳的数据
[02:16:43] 怎么样去表现更好的提升
[02:16:45] 他又去拍好莱坞电影
[02:16:46] 拍了拉玛努金的那一部
[02:16:48] 现在又要拍第二部
[02:16:49] 拍米尔扎克哈尼的
[02:16:51] 第一位女性菲尔兹奖得主的电影
[02:16:55] 然后他又去拍了
[02:16:56] 同时又做很多的
[02:16:59] 就是他有一个慈善基金会
[02:17:02] 就是以拉玛努金命名的
[02:17:03] 去给一些很年轻的
[02:17:05] 世界各地的
[02:17:06] 希望能够拿一些资金
[02:17:09] 去买数学课本的同学们
[02:17:11] 一些辅助
[02:17:12] 同时他又是美国数学学会的
[02:17:15] 前任副主席
[02:17:16] 然后又是在白宫
[02:17:19] 又有一些政策上的
[02:17:22] 就是咨询顾问的一些职位
[02:17:25] 所以就是
[02:17:26] 他是一个非常有资本的
[02:17:26] 非常非常全面的人
[02:17:28] 他作为一个数学家
[02:17:31] 然后加入一个AI for math的公司
[02:17:33] 建造一个类似于AI数学家
[02:17:37] 会替代自己吗
[02:17:40] 他倒不觉得会替代自己
[02:17:42] 我们其实大家都觉得
[02:17:43] 我觉得他就是思想非常开明
[02:17:46] 作为一个数学家
[02:17:47] 有一些数学家可能真觉得
[02:17:48] 就是AI去代替自己
[02:17:50] 不是一件好事情
[02:17:51] 但是我们见到的越来越多的
[02:17:54] 比如说Ken
[02:17:54] 比如说Andrew Granville
[02:17:56] 那也是另外一个人
[02:17:56] 一个很好的加拿大的一个数论家
[02:17:59] 这个Andrew也是我们
[02:18:02] 他也是著作等身的一个数论学家
[02:18:04] 他们其实一个想法就是
[02:18:06] 随着AI的进步
[02:18:07] 人类数学家会学习在
[02:18:09] 不同的抽象层面上
[02:18:11] 进行逻辑推理
[02:18:12] 这是一个非常有意思的一个点
[02:18:15] 就是我们某种程度上
[02:18:17] 在编程这一块
[02:18:19] 以前编程
[02:18:21] 我记得如果你去这个计算机博物馆
[02:18:24] 就在这附近
[02:18:24] 以前就是有一个计算机博物馆
[02:18:26] 就是电脑计算机
[02:18:28] 就是有那个小卡片
[02:18:29] 然后你在那里打洞
[02:18:30] 就是那个
[02:18:31] 那是很早以前的一个
[02:18:32] computer science的一个雏形
[02:18:34] 后面有一些更low level
[02:18:36] 更低层的这些编译器语言
[02:18:38] 然后一直从后面到Python
[02:18:40] 现在倒可以拿自然语言进行web coding编程
[02:18:42] 然后数学其实某种程度上
[02:18:45] 数学家也会学会有
[02:18:46] 更高层的抽象的思维
[02:18:49] 比如说我刚才讲的
[02:18:51] 有可能他们就是去说
[02:18:53] 这些问题是值得去探索的
[02:18:55] 然后让这个
[02:18:56] AI去帮他们探索
[02:18:58] 我们希望
[02:18:59] 我们真心的希望
[02:19:00] 我们的AI能够有
[02:19:01] 具备一定程度上的猜想能力
[02:19:04] 能够让这个猜想的这个部分
[02:19:06] 与证明的这个部分
[02:19:07] 进行某种向上落选
[02:19:09] 就是我希望它能够
[02:19:11] 随着这个action prover
[02:19:13] 能证明的东西越来越多
[02:19:15] 我们每一天证明的东西
[02:19:16] 都会进入到明天的
[02:19:18] 明天的这个应用中
[02:19:22] 不管是作为一个skill
[02:19:23] 一个技能
[02:19:24] 就像lego prover的skill library
[02:19:26] 这个
[02:19:26] 这个设计
[02:19:28] 或者是去
[02:19:29] 作为未来的这个训练数据
[02:19:31] 我希望它一定是self improving的
[02:19:33] 某种程度上self improvement
[02:19:34] 甚至说你可以叫它continue learning
[02:19:37] 当然这是一个
[02:19:38] 最近很火的一个词
[02:19:39] 一个buzzword
[02:19:40] 在一个能够有
[02:19:41] 验证signal的
[02:19:43] 验证信号的一个领域
[02:19:44] 像数学来说
[02:19:45] 是可以去试验的
[02:19:46] 这些很好的
[02:19:47] 很前沿的
[02:19:48] 的AI的一些一些东西
[02:19:51] 包括subagents
[02:19:52] skills
[02:19:52] mcp
[02:19:53] 这些东西全部可以
[02:19:54] 在我们现在的这个
[02:19:56] 呃
[02:19:56] 数学作为一个操场
[02:19:58] 一个playground上
[02:19:58] 可以去试验
[02:19:59] 嗯
[02:20:00] 你们在普特南的那个
[02:20:03] 呃
[02:20:03] 对
[02:20:03] 对
[02:20:04] 那个故事可以给大家讲一下
[02:20:06] 好
[02:20:06] 就是大概就是在
[02:20:07] 2025年12月6号
[02:20:09] 这一天早上
[02:20:10] 我们收到了
[02:20:11] 呃
[02:20:11] 就是普特南大学生数学竞赛
[02:20:13] 当天的考卷
[02:20:14] 然后我们是
[02:20:15] 拿到那个考卷之后
[02:20:17] 就
[02:20:17] 我们要做的第一件事情
[02:20:19] 就是我们需要把它
[02:20:20] 呃
[02:20:21] 变成形式化的
[02:20:22] 这个题目
[02:20:23] 让这个action prover
[02:20:25] 我们的这个AI系统
[02:20:26] 去
[02:20:26] 去做
[02:20:27] 那我们这个呃
[02:20:29] 题目当时
[02:20:30] 其实挺有意思的
[02:20:32] 早上六道题
[02:20:33] 下午六道题
[02:20:34] 如果这个题目本身
[02:20:35] 是一个正名题的话
[02:20:36] 那么就可以直接
[02:20:38] 就是把它变成形式化
[02:20:40] 如果是
[02:20:40] 他说要求解的话
[02:20:42] 那还需要求解
[02:20:43] 所以其实还是一个
[02:20:45] 挺有意思的一个过程
[02:20:46] 我们所有人都在这个
[02:20:47] 办公室的一个
[02:20:48] Punkery
[02:20:49] 庞加莱这个会议
[02:20:51] 会议室
[02:20:51] 是我们的这个
[02:20:52] war room
[02:20:53] 我们的战争
[02:20:53] 战争室
[02:20:54] 我们就是在
[02:20:55] 他们数学家
[02:20:56] 有些人就在
[02:20:56] 解题
[02:20:57] 所以其实就是解
[02:20:58] 解题的这个过程
[02:21:00] 还挺有意思的
[02:21:00] 就是我们
[02:21:01] 我们可以看到说
[02:21:03] 呃
[02:21:03] 有人类的解法和
[02:21:05] 就是我们最终
[02:21:06] 这个action prover
