[00:00:00] Hello大家好,我是小骏
[01:27:36] 飞鹰9号这个项目
[01:27:38] 飞鹰9号在一开始
[01:27:40] 就是
[01:27:42] 在12年的时候
[01:27:44] 全世界
[01:27:46] 的这个发射
[01:27:48] 包括美国
[01:27:50] 包括中国
[01:27:52] 包括俄罗斯
[01:27:54] 全部加起来了不起
[01:27:56] 全世界发射77次
[01:27:58] 那个时候
[01:28:00] 2012年
[01:28:02] 2013年
[01:28:04] 在开始规划飞鹰9号的制造
[01:28:06] 跟这个
[01:28:08] 亮度的时候
[01:28:10] 就非常的非常的明显
[01:28:12] 我不怪我所有的东西
[01:28:14] 我们一定要按照
[01:28:16] 每一年至少发射
[01:28:18] 40次以上
[01:28:20] 这样下去规划
[01:28:22] 之前一年是发多少
[01:28:24] 71年
[01:28:26] 全球发射77次
[01:28:28] SpaceX在2012年2013年
[01:28:30] 等等了不起
[01:28:32] 就发射了一次
[01:28:34] 在一家发射一次的
[01:28:36] 公司
[01:28:38] 全公司的目标
[01:28:40] 我们在火箭部门
[01:28:42] 我们至少要有
[01:28:44] 一年40次以上
[01:28:46] 的规模
[01:28:48] 为什么是40次不是30次
[01:28:50] 不是50次
[01:28:52] 但是那时候Elon就很明显
[01:28:54] 不要说40次30次
[01:28:56] 说10次
[01:28:58] 你再说一家公司
[01:29:00] 你了不起
[01:29:02] 我们今年做了一次
[01:29:04] 我跟你说我明年
[01:29:06] 我们要规划10倍
[01:29:08] 感觉
[01:29:10] 你疯了
[01:29:12] 你不要说10倍
[01:29:14] 现在说40倍
[01:29:16] 至少以这样的起点
[01:29:18] 这样规划
[01:29:20] 那时候大家也不知道Elon想什么
[01:29:22] 反正Elon
[01:29:24] SpaceX非常明显
[01:29:26] Elon说了算
[01:29:28] 大家就相信Elon
[01:29:30] 火箭部门要大量扩张
[01:29:32] 我们要怎么样能够
[01:29:34] 从一只火箭
[01:29:36] 重做一次
[01:29:38] 就需要找更多
[01:29:40] 在这一方面有专场的人
[01:29:42] 那个时候他们看我的
[01:29:44] 背景
[01:29:46] 你就是做量产的
[01:29:48] 做实物量产
[01:29:50] 你就是做实物量产
[01:29:52] 你就是做自动化生产
[01:29:54] 你对生产比我们大部分的人都了解
[01:29:56] 那你来 赶快
[01:29:58] 你开始来做飞鹰9号的扩张过程
[01:30:00] 所以那个时候他们为什么
[01:30:02] 把我从飞龙号调到了飞鹰9号
[01:30:04] 就是从Elon的需求开始
[01:30:06] 2013年是看到了什么
[01:30:08] 决定在那一年要开始扩张
[01:30:10] 也不是从那一年开始扩张
[01:30:12] 也就是
[01:30:14] 接下来Elon
[01:30:16] 从一开始
[01:30:18] 他就决定说火箭
[01:30:20] 并不应该
[01:30:22] 是火箭
[01:30:24] 火箭并不应该是火箭
[01:30:26] 火箭大家都觉得
[01:30:28] 火箭是一个高打上
[01:30:30] 火箭是一个
[01:30:32] 就像惊弓在无尘室里面
[01:30:34] 这样的惊弓跑得
[01:30:36] 人才能做火箭
[01:30:38] 特殊人才能做火箭
[01:30:40] 火箭的确它的规格
[01:30:42] 是比所有东西之上
[01:30:44] 但是Elon的认知是
[01:30:46] 即使在这样之下
[01:30:48] 火箭也不应该
[01:30:50] 是这样的生产模式
[01:30:52] 他觉得跟造一辆特斯拉
[01:30:54] 没什么本质区别
[01:30:56] 这个你说得非常非常的对点
[01:30:58] 特斯拉那个时候
[01:31:00] 跟SpaceX是一个姐妹公司
[01:31:02] 所以就像两个姐妹
[01:31:04] 在同一个家庭里面
[01:31:06] 同一个家长
[01:31:08] 总是会喜欢比较
[01:31:10] 姐姐今天做了什么事情
[01:31:12] 妹妹怎么样了等等
[01:31:14] 所以我觉得Elon身为两家公司的CEO
[01:31:16] 多多少少有这样的一个cross over
[01:31:18] 所以他是姐姐你们是妹妹是吗
[01:31:20] 谁是姐姐谁是妹妹
[01:31:22] 我认为我们应该是妹妹
[01:31:24] 但是这就是骗外体了这个东西
[01:31:26] 他会真的比较吗
[01:31:28] 他会跟SpaceX
[01:31:30] 你看特斯拉怎么怎么样了
[01:31:32] 这是好问题
[01:31:34] 但是我们就是后面知道的
[01:31:36] 在当时不知道
[01:31:38] 但是后面因为我们认识更多特斯拉人
[01:31:40] 我现在的伙伴也是特斯拉的
[01:31:42] 他们会说
[01:31:44] 其实在当下的时候
[01:31:46] Elon是非常明显的
[01:31:48] Elon是非常偏SpaceX
[01:31:50] 特斯拉人这样的感官
[01:31:52] 他们觉得说
[01:31:54] SpaceX就像是在这个家庭里面
[01:31:56] 就是一个
[01:31:58] 很会花钱
[01:32:00] 最被宠坏的妹妹
[01:32:02] 你知道吗
[01:32:04] 所以说
[01:32:06] 如果说我比姐姐
[01:32:08] 我就需要去赚很多很多的钱
[01:32:10] 为了来支柱这个妹妹
[01:32:12] 所需要的开发
[01:32:14] 妹妹得到的都是比姐姐好很多的东西
[01:32:16] 等等
[01:32:18] 他会在特斯拉里面念SpaceX
[01:32:20] 但是他会在SpaceX里面念特斯拉吗
[01:32:22] 也不会
[01:32:24] 其实这两家公司的规格他不一样
[01:32:26] 所以他没有太早期的时候
[01:32:28] 没有太多交集的
[01:32:30] 你说做汽车跟做火箭
[01:32:32] 即使Elon的目标是希望把火箭
[01:32:34] 但是你必须承认
[01:32:36] 这两个的规格还是差非常非常非常多的
[01:32:38] 这两个规格
[01:32:40] 能从SKU去直观的量化吗
[01:32:42] 不能从SKU去直观
[01:32:44] 但是对一个东西的精细度
[01:32:46] OK
[01:32:48] 这个
[01:32:50] 我记得一个
[01:32:52] 更简单的一个解释吧
[01:32:54] 就是大家会觉得说
[01:32:56] 火箭是什么东西
[01:32:58] 就是火箭是什么
[01:33:00] 你发现火箭到这个地方
[01:33:02] 但是意味着什么东西
[01:33:04] 为什么火箭大家说这么高的规格
[01:33:06] 等等的
[01:33:08] 那火箭象征的
[01:33:10] 也就是你今天想象
[01:33:12] 你今天开始
[01:33:14] 从这里开车
[01:33:16] 到洛杉矶
[01:33:18] 你开始一路开
[01:33:20] 开到你洛杉矶
[01:33:22] 你的目的地的点
[01:33:24] 也就是你刚好开进
[01:33:26] 你的家门口的时候
[01:33:28] 你最后一滴油
[01:33:30] 刚刚好用完了
[01:33:32] 这个就是火箭
[01:33:34] 就是它是一个完完全全精算
[01:33:36] 你想想看
[01:33:38] 你在这么长途的旅行中
[01:33:40] 可以发生任何的事情
[01:33:42] 等等的这种风土等等的
[01:33:44] 但是精算
[01:33:46] 到时候我确定
[01:33:48] 你到这个点的时候
[01:33:50] 你的燃料最后一滴用完了
[01:33:52] 因为你的燃料
[01:33:54] 如果剩一堆的话
[01:33:56] 你就是一个烂火箭
[01:33:58] 你的效率就极端的低
[01:34:00] 火箭的最高境界
[01:34:02] 就是能够把这整个东西
[01:34:04] 控管到这种的精准度
[01:34:06] 那你觉得任何车子
[01:34:08] 有办法达到这种精准度吗
[01:34:10] 车子的目的地是不一样的
[01:34:12] 是不一样的
[01:34:14] 但是就算呢
[01:34:16] 这个车子跟你说
[01:34:18] 它有653麦
[01:34:20] 我可以在剩下的时候
[01:34:22] 你觉得它有多精准
[01:34:24] 在这种长途的旅行
[01:34:26] 这就是火箭跟SpaceX
[01:34:28] 跟特斯拉这样的
[01:34:30] 火箭之间所要求的
[01:34:32] 这个东西
[01:34:34] 那我现在讲另外一点
[01:34:36] 你从SpaceX
[01:34:38] 洛杉矶开到
[01:34:40] 从现在开到洛杉矶
[01:34:42] 这个路程上面
[01:34:44] 你还要经历过一个
[01:34:46] 最极端的一个环境
[01:34:48] 它可能热的时候
[01:34:50] 几百度,冷的时候几百度
[01:34:52] 而且可以一天里面
[01:34:54] 几百度这样的温差
[01:34:56] 跟一个在全真空的环境
[01:34:58] 嗯
[01:35:00] 这个规格上面
[01:35:02] 的确跟车子的要求
[01:35:04] 是非常非常不一样的一个产品
[01:35:06] 但是即使在这个之下
[01:35:08] 伊朗认为
[01:35:10] 我们回归到SpaceX要达到的
[01:35:12] 这个目标
[01:35:14] 我们如果要能够真正开拓宇宙
[01:35:16] 真正的把这个
[01:35:18] 东西做成一件事
[01:35:20] 那火箭即使这么高的
[01:35:22] 规格
[01:35:24] 必须把它做成像车子
[01:35:26] 这样的一个简单化
[01:35:28] 它既然这么难
[01:35:30] 那么我们来看看
[01:35:32] 这个飞龙号的精度
[01:35:34] 你在开始负责
[01:35:36] 这个飞鹰9号之前
[01:35:38] 你是没有任何这个
[01:35:40] 火箭相关背景的
[01:35:42] 哪怕你在管飞龙号的时候
[01:35:44] 它其实也不直接相关
[01:35:46] 对不对
[01:35:48] 没错
[01:35:50] 那你,我觉得这样一看到
[01:35:52] 这个就懵了呀
[01:35:54] 你怎么接受这个工作呢
[01:35:56] 你是这个团队的负责人吗
[01:35:58] 你说今天要找任何一个人
[01:36:00] 我问你
[01:36:02] 你觉得好啊
[01:36:04] 你今天去找一个专家
[01:36:06] 你觉得在这个世界上有几个真的能够符合
[01:36:08] 你想要找的这个专家
[01:36:10] 他可以从他那个团队promote一个人
[01:36:12] Yes, that's true
[01:36:14] 但是这个团队里面也是
[01:36:16] 二十几岁
[01:36:18] 从好大学这样毕业
[01:36:20] 很聪明的一些人
[01:36:22] 所以SpaceX的定义
[01:36:24] 他在乎一个人
[01:36:26] 他在乎一个人
[01:36:28] 能够在短时间里面
[01:36:30] 能够吸收多少
[01:36:32] 能够成长多少
[01:36:34] 能够适应多少
[01:36:36] 比起你以前过去几十年这样的经验
[01:36:40] 为什么
[01:36:42] 因为经验的确能够帮助你在很多事情上
[01:36:44] 在一开始起点
[01:36:46] 有比更多人更高的高点
[01:36:48] 但是在SpaceX这家公司里面
[01:36:50] 他从来没有把自己定义成
[01:36:52] 是一家其他的公司
[01:36:54] 怎么说
[01:36:56] 在公司里面
[01:36:58] 你可能一年
[01:37:00] 我跟老板说
[01:37:02] 我给这个项目省了百分之十
[01:37:04] 百分之二十
[01:37:06] 百分之三十
[01:37:08] 这样的效率你了不起了
[01:37:10] 升级
[01:37:12] 加奖金
[01:37:14] 你跟银浪说
[01:37:16] 我今天给这个项目
[01:37:18] 增加了百分之三十
[01:37:20] 这样的效率
[01:37:22] 银浪会叫你滚出去
[01:37:24] 滚出去?
[01:37:26] 等等
[01:37:28] 我待会再说这个故事
[01:37:30] 但是SpaceX的这个标准
[01:37:32] 你如果没有从倍级
[01:37:34] 也就是这个东西是一个十倍级
[01:37:36] 也就是在英文叫做
[01:37:38] warrior magnitudes
[01:37:40] 也就是十倍级或者百倍级
[01:37:42] 这样的跳跃的话
[01:37:44] 你根本就没有在做你的事情
[01:37:46] 这样的一个起点
[01:37:48] 回归到你刚刚问题
[01:37:50] 他会叫你滚出去吗
[01:37:52] 那银浪呢
[01:37:54] 伊朗的沟通是什么样子
[01:37:56] 因为我们身为高管
[01:37:58] 我们常常要跟伊朗沟通
[01:38:00] 听说过
[01:38:02] 一点点
[01:38:03] 大家都觉得说对伊朗沟通是一个很酷的事情
[01:38:06] 哇你天天进伊朗是不是天天跟伊朗high five
[01:38:09] OK很酷伊朗现在是个名人
[01:38:11] 对伊朗怎么样
[01:38:12] 那伊朗呢
[01:38:14] 只会跟你开会开三件事情
[01:38:16] 第一件事情
[01:38:17] 你的东西迟到了
[01:38:20] 第二件事情
[01:38:22] 你的东西做不出来
[01:38:23] 第三件事情
[01:38:26] 你的东西需要更多的钱
[01:38:28] 所以三件事情跟伊朗开发
[01:38:32] 从来没有任何一个东西
[01:38:34] 是一个很简单的一个回忆
[01:38:36] 像我在跟你在聊天这样的事情
[01:38:38] 都是一个非常高压
[01:38:40] 非常难的一个态度
[01:38:42] 那所以呢
[01:38:44] 那在一跟伊朗里面
[01:38:46] 伊朗呢
[01:38:47] 是一个极端聪明的一个人
[01:38:49] 伊朗也常常说
[01:38:52] 他是spacex的种
[01:38:53] 工程师种设计师
[01:38:55] 你可能会觉得说这是一个
[01:38:58] 很扯的事情
[01:38:59] 我可以自己我可以创立一家公司
[01:39:01] 我可以自己做CEO
[01:39:02] 现在也要说啊
[01:39:03] 我自己也是这个家公司
[01:39:05] 火箭是我设计的
[01:39:06] OK等等
[01:39:08] 但是呢从一个spacex里面的人讲
[01:39:11] 这句话其实也没有那么的错
[01:39:13] 没有那么的错但还是错的
[01:39:16] 嗯
[01:39:16] 严格来讲没有错
[01:39:17] OK为什么说种设计师是什么
[01:39:19] 种设计师决定这种公司的方向
[01:39:22] 跟种
[01:39:23] 我们整个设计的这个规格
[01:39:25] which ok所有公司大大小小的事情
[01:39:29] OK的确最后一个拍板的的确是伊朗
[01:39:32] 嗯
[01:39:32] 所以说呢他自己说他自己有火箭的这个种设计师
[01:39:35] 或者这家公司的种种工程师
[01:39:37] 我可以其实也严格来讲没有那么的错
[01:39:40] 嗯
[01:39:41] OK但是在这之下
[01:39:43] OK你在跟伊朗沟通的时候
[01:39:46] 对伊朗会问你对不对
[01:39:47] 反正伊朗呢
[01:39:49] 从一个非常简单的一个低逻辑的角度出发
[01:39:53] 因为他会问你一个非常就简单直接的事情
[01:39:57] OK很多时候呢
[01:39:59] 在这个行业里面的事情呢
[01:40:01] 在行业里面走的人
[01:40:03] OK肯定会觉得这是就蒙了
[01:40:05] OK就是你在说什么
[01:40:08] OK但是你如果从一个伊朗第一元的角度来讲
[01:40:11] 你就差不多会了解他
[01:40:13] OK也就是能回到说伊朗呢
[01:40:15] 会不会比较spacex跟tesla这件事情
[01:40:19] 伊朗常常最喜欢的事情
[01:40:21] 就可以就提的就是说喂我做一台猫啊
[01:40:22] OK就提的就是说喂我做一台猫啊
[01:40:22] OK就提的就是说喂我做一台猫啊
[01:40:23] Model S
[01:40:24] 或者我后面我做一台Model 3
[01:40:26] 了不起了全部的加起来的成本就这么多的钱
[01:40:31] 那你今天为什么一个火箭的引擎
[01:40:33] 或者一个火箭的这个部位
[01:40:35] 你需要OK是这么多的钱
[01:40:38] 并且呢你的效率是这么的低
[01:40:41] 这是一个很简单就伊朗就直接的一个对比
[01:40:45] 怎么回答他这个问题
[01:40:47] 我们是火箭啊
[01:40:50] 我觉得很多公司你可以讲我们是火箭
[01:40:52] 这样的一个问题
[01:40:54] 那伊朗就会直接问问更细的
[01:40:59] 我举一个例子吧
[01:41:00] 我觉得这个例子可能会比较比较清晰
[01:41:03] 对我那个时候呢
[01:41:04] 反正在在列印九号
[01:41:07] 对反正他开始管理以后
[01:41:08] 反正一个一个部门
[01:41:09] 接一个部门
[01:41:10] 这个部门反正所有
[01:41:12] 给大大小小列印九号上面的部位
[01:41:14] 基本上后面都是我管的
[01:41:16] 那我那个时候呢
[01:41:18] 管了一个部门
[01:41:19] OK是飞行九号上面的一个超级高压桶
[01:41:22] OK这个东西反正就是桌子那么大
[01:41:26] 给两米差不多长的一个高压桶
[01:41:29] 你说高压桶什么呀
[01:41:31] 就是跟瓦斯桶一样嘛
[01:41:32] 就是什么了不起的东西
[01:41:33] OK那高压桶我给你一个一个具体的例子
[01:41:37] 你自己开车
[01:41:39] 你像不相信轮胎是一个很高压的东西
[01:41:41] 就你打开轮胎这样的声音
[01:41:43] 是的
[01:41:44] 我不知道你们体验到
[01:41:45] OK那轮胎的压力呢
[01:41:47] 是40psi
[01:41:49] OK那这个高压桶在做的这个火箭是什么呢
[01:41:50] OK那这个高压桶在做的这个火箭是什么呢
[01:41:50] OK那这个高压桶在做的这个火箭是什么呢
[01:41:50] 那这个高压桶在做的这个火箭
[01:41:53] OK是上万级
[01:41:55] 这样的一个同样的一个psi
[01:41:57] 所以你可以感觉它是一个巨无霸
[01:41:59] 一个超级的一个高压桶
[01:42:01] 然后并且又要轻
[01:42:03] OK你看火箭要所谓轻
[01:42:05] 所以你要轻
[01:42:06] 又要这个全世界最耐
[01:42:07] 最耐压的一个产品
[01:42:10] 那大家都可以想象
[01:42:11] 这是一个全世界最大的一个工艺
[01:42:14] 你不能够失去任何的一点
[01:42:16] 因为你任何一点它这个东西就会爆炸
[01:42:18] 是一个炸弹
[01:42:19] 嗯
[01:42:20] 那这个东西呢
[01:42:21] 在spacex以往呢
[01:42:22] 都是直接跟采购商直接售
[01:42:25] 售买的
[01:42:26] OK这个东西很贵
[01:42:28] 因为你想想看要能够做一个所有
[01:42:30] 完全无瑕疵
[01:42:31] 然后又那么高压那么轻的东西
[01:42:34] 采购商跟你说这个东西一个一年
[01:42:35] 都给十几万元
[01:42:37] 十几万美元
[01:42:39] 十几万美元就算了
[01:42:41] OK最主要的是采购商
[01:42:43] 一年说十几万美元我了不起了
[01:42:45] 我一年就能够给你几个
[01:42:46] 你这神经病啊
[01:42:47] 我怎么这么这么高精的东西
[01:42:49] 我怎么可能呢
[01:42:50] OK
[01:42:50] 就能够做你你跟我要的这个数字
[01:42:53] 说你一年要多少个
[01:42:54] 就要你发射四十次
[01:42:56] 等飞行走航这样之下
[01:42:58] 嗯
[01:42:59] 那一样听了这个以后就觉得说这超扯的
[01:43:01] 我们就只要一年发射四十次
[01:43:03] 你就跟不上了
[01:43:04] 那你就滚吧
[01:43:05] 我们自己开发
[01:43:08] 所以呢
[01:43:09] 应该就直接把这个东西就丢过来给我们
[01:43:12] 你说你们这个东西反正你们就是想
[01:43:14] 反正这东西我们要自己做了
[01:43:17] 而且我们要做全业界里面最厉害的
[01:43:20] 这个高压桶绝对不能够就直接做一样的
[01:43:22] 所以我们就自己回去反正反正做做好几做了一段时间
[01:43:26] 然后做回来了好
[01:43:27] 我们把这个成品带回来给英朗了
[01:43:30] 哎
[01:43:30] 我们的确做出来了自家的
[01:43:33] 而且能比业界的成本低百分之九十
[01:43:38] 而且量能够跟得上这个飞行走航
[01:43:41] 然后我们自己非常非常的自豪
[01:43:43] 我们觉得说我们自己全世界最牛的一个团队
[01:43:48] OK没有人能够做这些
[01:43:49] 或许是个奇迹
[01:43:50] 我跟这个回头看怎么做出来的呢
[01:43:54] 我觉得这个过去这个心酸了
[01:43:56] 可以我们可以再讲三个小时
[01:43:58] 我就不讲了这个东西
[01:43:59] 但是是非常非常多的时间的投入跟这样的这个迭代
[01:44:04] 反正反正最终做出来了
[01:44:06] OK
[01:44:06] 这个那但是做出来第一点到这一浪的这个这个桌面的时候呢
[01:44:13] 你猜一浪怎么回答的
[01:44:16] 对
[01:44:19] 我觉得他连good这个字都没有讲
[01:44:22] 他也没有说你bad
[01:44:25] 甚至都没有讲这个事情
[01:44:28] 就是一般人都会讲这句话
[01:44:33] good bad fine
[01:44:34] 对不对
[01:44:35] 你让我第一句话来问
[01:44:36] 你有没有看过可乐罐的生产
[01:44:41] 就没有没有giddy
[01:44:44] 就所有你看我们刚才讲的讲那么多
[01:44:46] 给我们做多厉害多厉害的
[01:44:48] 好
[01:44:49] 给一浪看
[01:44:50] 嗯
[01:44:51] 你有没有看过可乐罐的生产
[01:44:55] 是他唯一的一个回答
[01:44:57] 那我们就说
[01:44:58] OK
[01:44:59] 我们我们当然知道可乐罐的生产
[01:45:01] 但是一浪你在讲什么东西
[01:45:03] OK
[01:45:04] 我知道
[01:45:05] yes
[01:45:06] 我没有看过
[01:45:07] 然后呢
[01:45:08] 那一浪说
[01:45:10] 这个可乐罐的生产
[01:45:12] 你想想看你在做的这个东西
[01:45:14] 是一个耐压的产品
[01:45:18] 可乐罐
[01:45:19] 从第一原理
[01:45:21] 也是一个耐压的产品
[01:45:23] 那为什么可乐罐
[01:45:25] 可以在一分钟里面
[01:45:28] 生产上千个可乐罐
[01:45:31] 然后以几分钱
[01:45:32] 这样的角度
[01:45:34] 能够去做这个东西
[01:45:35] 你今天这个东西
[01:45:37] 即使你做了所有的改革
[01:45:40] 还是一样
[01:45:41] 是这个量跟这个价格
[01:45:43] 你们是不是还有待
[01:45:45] 再改进了这个空间
[01:45:46] 哦
[01:45:47] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:48] 嗯
[01:45:49] 嗯
[01:46:19] Ming
[01:46:19] 嗯
[01:46:19] 嗯
[01:46:19] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:20] 嗯
[01:46:21] 嗯
[01:46:21] 嗯
[01:46:21] nothing
[01:46:22] yok
[01:46:22] 你也扯太远了
[01:46:23] 但是如果你朝他这个
[01:46:25] 终极的这个境界来讲
[01:46:26] 这两个东西是一样的
[01:46:28] 从一个物理的角度
[01:46:31] OK
[01:46:31] 是一样的东西
[01:46:33] 那这个就是一落
[01:46:35] 跟所有团队的这个沟通
[01:46:38] 就是说你说他会把你叫滚出去吗
[01:46:41] 他会叫你
[01:46:42] 才会摔他一只你们是全部怎么样
[01:46:45] 英朗呢
[01:46:46] 其实是一个很平的一个人
[01:46:48] 他也知道
[01:46:49] 你做了什么事情
[01:46:49] 没做什么事情
[01:46:50] OK
[01:46:52] 但是呢
[01:46:52] 他会持续的
[01:46:54] OK
[01:46:55] 再把你推到
[01:46:56] 你不知道
[01:46:57] 你可以到了一个境界
[01:46:59] 那你们走出那个会议室以后
[01:47:00] 还在继续优化吗
[01:47:02] 我们还是继续优化
[01:47:04] 当然你不
[01:47:05] 你从一个火箭的这个产品
[01:47:07] 不可能到一个可乐罐
[01:47:08] OK
[01:47:09] 这个东西我觉得还是一个
[01:47:10] 但是呢
[01:47:10] 他的确给你了一个
[01:47:12] 一个想法
[01:47:13] 就是OK
[01:47:13] 好的确从这个角度
[01:47:15] 对对
[01:47:15] 我们还能把他再挤出一些
[01:47:17] 我们之前没有想过的东西
[01:47:19] 和一龙开会
[01:47:20] 有任何的正反馈吗
[01:47:22] 他会鼓励你吗
[01:47:23] 从来没有吗
[01:47:24] 他是一个
[01:47:25] 没有任何情绪价值的老板吗
[01:47:27] 他的情绪价值呢
[01:47:30] 跟我觉得很多
[01:47:32] 所有的老板
[01:47:34] 或者CEO
[01:47:35] 我觉得很不一样
[01:47:36] OK
[01:47:37] 那大家呢
[01:47:39] 我可能只想说
[01:47:41] 大家跟随一龙
[01:47:43] OK
[01:47:43] 是因为一龙是一个
[01:47:44] 很真的一个人
[01:47:46] OK
[01:47:46] 他很相信他自己的东西
[01:47:48] 那他也自己也知道
[01:47:50] 他在讲什么事情
[01:47:51] 对不对
[01:47:52] 那他是一个
[01:47:53] 把自己永远放在最前卫
[01:47:56] 跟你一起奋斗的一个人
[01:47:57] 所以他其实是从
[01:47:59] 一个心里面
[01:48:01] 在那边
[01:48:01] 在领导这整个团队的一个人
[01:48:04] OK
[01:48:06] 那
[01:48:06] 你说他
[01:48:09] 会不会去
[01:48:10] 骂你
[01:48:11] 还是会不会是
[01:48:13] 鼓掌你
[01:48:14] 其实一龙呢
[01:48:15] 是从一个
[01:48:16] 人为上面
[01:48:17] 他是一个很平的一个人
[01:48:18] 很平的一个人
[01:48:19] 是
[01:48:20] 他没有等级意识
[01:48:21] 他没有太多的这个喜怒哀乐
[01:48:24] OK
[01:48:24] 其实他你可以
[01:48:25] 很平的一个人
[01:48:26] 你可以
[01:48:26] 你可以严格讲
[01:48:28] 他可能是一个很无聊的一个人
[01:48:29] OK
[01:48:30] 虽然你可以看见一龙
[01:48:31] 可能现在
[01:48:32] 现在比较风趣了
[01:48:33] 在大众面前
[01:48:34] 我觉得是他
[01:48:35] 经过十几年以后
[01:48:37] 练习出来的
[01:48:38] 但他平时
[01:48:39] 他是一个深
[01:48:40] 深度
[01:48:41] 他是一个很平的一个人
[01:48:42] 没有什么情绪波动
[01:48:44] 对
[01:48:44] 他生气的时候
[01:48:45] 他也不会
[01:48:46] 摔桌子
[01:48:47] 对
[01:48:47] 他开心的时候呢
[01:48:49] 他会像小孩子一样
[01:48:51] 就开心
[01:48:51] 怎么像小孩子一样开心
[01:48:53] 他就觉得
[01:48:54] 这个很酷
[01:48:55] 这个怎么样
[01:48:56] 然后跟你
[01:48:56] 跟你在那边开一个
[01:48:57] 这样的这个冷笑话
[01:48:59] 等等
[01:48:59] OK
[01:49:00] 但是呢
[01:49:01] 他就是一个很
[01:49:02] 就像一个小孩子一样
[01:49:04] 你可以
[01:49:04] 很明显的知道
[01:49:05] 以往开心
[01:49:06] 或者你做对的时候
[01:49:07] 事情
[01:49:08] 的时候
[01:49:09] 因为他就是
[01:49:10] 他
[01:49:10] 他蛮真情
[01:49:12] 这样子
[01:49:13] 他会释放出来
[01:49:14] 他会释放出来
[01:49:15] 那你也可以
[01:49:16] 感受得到
[01:49:17] 那全公司在努力
[01:49:19] OK
[01:49:20] 都会觉得说
[01:49:21] 我也都希望
[01:49:21] 就是你拿完
[01:49:22] 就应当开心
[01:49:23] 这样子
[01:49:24] 的一个点
[01:49:24] 哦
[01:49:25] 但是他不会表扬你
[01:49:26] 他只是会自己开心
[01:49:27] 他会很开心
[01:49:28] 他会觉得说
[01:49:29] 对
[01:49:29] 那你说我们像我们做这个
[01:49:31] 这个高压
[01:49:32] 对不对
[01:49:32] 那我们把这个东西
[01:49:34] 把它产品化
[01:49:35] 那我们甚至做出了一个像
[01:49:37] 全自动化的
[01:49:38] 这是我在
[01:49:39] 可能最大的一个计划
[01:49:41] OK
[01:49:41] 跟他
[01:49:43] 就要了几百万美金
[01:49:45] 那我们真的是
[01:49:46] 我们真的
[01:49:46] 就把这个像汽车一样
[01:49:47] 把这个全自动化的
[01:49:49] 这个生产
[01:49:49] 就是真的就做出来了
[01:49:51] 全世界的第一个
[01:49:52] 这么高规格量化
[01:49:54] 的这个生产量做出来了
[01:49:56] 对
[01:49:57] 那你英朗
[01:49:57] 那个时候在看我的这个表格
[01:50:00] 当然你在准备给英朗的时候
[01:50:02] 你是有充足的准备了
[01:50:03] 我那个呢
[01:50:04] 那个PPT大概改了22次
[01:50:06] 你跟他开过多少会啊
[01:50:08] 一共
[01:50:08] 我跟他呢
[01:50:09] 我严格来讲
[01:50:11] 你说每个礼拜会不会开会
[01:50:13] 不一定
[01:50:13] 但是有事情的时候
[01:50:15] 可能一个礼拜会会开会
[01:50:16] 一个礼拜不只开一次会
[01:50:17] 嗯
[01:50:18] OK
[01:50:18] 英朗开会不是为了开会
[01:50:20] 英朗不会跟你说
[01:50:20] 我每个礼拜跟你在那边开会定席
[01:50:23] 就是你跟我update什么东西
[01:50:24] 英朗只会给你开三个会
[01:50:26] 就我刚才讲的这个事情
[01:50:28] 就是我需要跟你讲话的时候
[01:50:30] 我会跟你讲话
[01:50:31] 其他时间
[01:50:32] 你我要没有跟你讲话
[01:50:33] 其实你就是做得不错
[01:50:35] 你就继续做吧
[01:50:36] 就是这样的定义
[01:50:38] 泰斯兰的人跟我说
[01:50:39] 他会骂人啊
[01:50:40] 他骂人很凶
[01:50:41] 他从来没有骂过你们吗
[01:50:43] 有啊
[01:50:44] 可是他骂人呢
[01:50:46] 不是很凶
[01:50:46] 他骂人比凶更恐怖
[01:50:48] 直接开了
[01:50:50] 直接开了
[01:50:52] 这个东西
[01:50:53] 有时候我很早期
[01:50:54] 社会高管说
[01:50:55] 是亲眼体验到的
[01:50:57] 就有人说过了
[01:50:58] 英朗不会大声
[01:50:59] 英朗不会怎么样
[01:51:00] 但是那个时候
[01:51:01] 在那个场景
[01:51:02] 很明显
[01:51:03] 就是我们在过一个
[01:51:05] 这个设计
[01:51:05] 对不对
[01:51:06] 那也是一个公司
[01:51:07] 一个也算蛮资深的
[01:51:09] 一个工程师
[01:51:09] 可以在做这个
[01:51:11] 整个它的报告
[01:51:12] 然后跟英朗
[01:51:13] 报告进度
