[00:00:00] Hello 大家好,我是小骏
[00:00:03] 今天我们的嘉宾是游凯超
[01:31:33] 你跟Simon两个人不行吗
[01:31:34] 他还是我们之中比较偏技术的同学
[01:31:37] 就是很多
[01:31:39] 因为很多历史上的
[01:31:41] 历史上的技术决策都是他做的
[01:31:42] 所以他来做的话会有比较好的延续性
[01:31:45] 所谓根正苗红
[01:31:47] 他可能是那个根
[01:31:48] 就是第一个人
[01:31:50] 对
[01:31:50] 我觉得这个对于社区的这个
[01:31:54] 号召力也会有比较大的影响
[01:31:56] 有你见过那种非常
[01:31:58] 可惜的看远项目吗
[01:32:01] 就是他可能根很好
[01:32:02] 但是因为后期维护出了问题
[01:32:04] 然后最终导致失败了
[01:32:06] 我觉得这些还是有比较多的例子的
[01:32:09] 尤其是
[01:32:10] 就是一些
[01:32:11] 开源社区
[01:32:12] 他没有公司在背后支持
[01:32:15] 这个比如说很多历史上的
[01:32:18] 很著名的项目
[01:32:19] 其实都是很多人在
[01:32:21] 就是有几个人在艰难维持
[01:32:23] 比如说像这个OpenSSH
[01:32:26] 这个其实是大家都要用到的一个
[01:32:30] 这个计算机的基础设施
[01:32:32] 就是一个这个SSH的这个加解密
[01:32:34] 那么他的维护者
[01:32:36] 其实就只有那么几个人在自己维护
[01:32:38] 然后呢
[01:32:39] 这个事情是直到
[01:32:41] 这个
[01:32:41] 大概十多年前
[01:32:43] 出现了一次事故
[01:32:45] 就是他的一个漏洞被人破解了
[01:32:47] 导致可能全世界都在裸奔
[01:32:49] 就是你的密码
[01:32:50] 可能大家都能看得到
[01:32:51] 出了这个事情之后
[01:32:52] 大家才成立了一个基金会
[01:32:54] 然后给他投一点钱来
[01:32:56] 这个支持他的维护
[01:32:58] 所以其实开源社区的
[01:33:01] 这个基础设施建设
[01:33:03] 一直是一个老生常谈的话题
[01:33:06] 就是他们都很重要
[01:33:08] 但是直到他们出问题之前
[01:33:10] 大家都觉得
[01:33:11] 不需要投入
[01:33:12] 你们还是提前来做了这件事情的
[01:33:14] 对我们提前做了这个事情
[01:33:16] 而且就是伯克利这边的历史渊源表明
[01:33:19] 只有有这样一个创业公司
[01:33:22] 在背后支持
[01:33:23] 这个项目才能够健康的发展
[01:33:25] 一定得是创业公司对吧
[01:33:27] 不能是一个大厂
[01:33:28] 对我觉得得是一个创业公司
[01:33:30] 如果是一个大厂的话
[01:33:32] 他很容易带来这个大厂
[01:33:35] 原来的一些偏见
[01:33:37] 或者说立场
[01:33:38] 那这个时候他很难去融合
[01:33:40] 这个社区的建设
[01:33:41] 就是可能有别的大厂不服他
[01:33:43] 所以说所有人不会跟他一起走
[01:33:47] 那么这个创业公司
[01:33:49] 又是这个项目的创业团队
[01:33:51] 然后呢
[01:33:52] 在社区里面带着大家一路风风雨雨
[01:33:54] 这样走过来
[01:33:55] 那我觉得他的号召力
[01:33:57] 包括他的这个中立性
[01:33:59] 公正性
[01:34:00] 大家都是比较认可的
[01:34:02] 所以我觉得这样的项目可以
[01:34:04] 就比较promising
[01:34:05] 最终你们觉得
[01:34:07] 这公司可以成立的那个节点是什么
[01:34:09] 是WooSooq答应加入的那一刻吗
[01:34:11] 有没有那样的一个时刻
[01:34:12] 那样的时刻
[01:34:13] 我觉得就是
[01:34:15] 就是Young Stoica老师告诉我们说
[01:34:17] 这个公司再不成立
[01:34:18] 这个项目就要完了
[01:34:19] 几年几月几日
[01:34:21] 可能找不出一个具体的时间吧
[01:34:24] 但是应该是二五年左右的时候
[01:34:26] 因为二五年左右的时候呢
[01:34:28] 我们做的一个主要的任务
[01:34:29] 是做大模型的
[01:34:31] 大规模的集群级别的部署
[01:34:33] 那这个时候
[01:34:34] 我们其实遇到了很多问题
[01:34:36] 一方面就是说
[01:34:38] 这个人力资源的问题
[01:34:40] 就是我们在这个时代里面
[01:34:40] 就是我们在这个时代里面
[01:34:40] 就是我们在这个时代里面
[01:34:40] 就是我们在这个时代里面
[01:34:41] 在以开源社区的方式运作的时候
[01:34:43] 这个参与这些事情的人
[01:34:45] 都是不确定的
[01:34:46] 就是人来人往的
[01:34:47] 对吧
[01:34:48] 有些人来
[01:34:48] 有些人新加入
[01:34:49] 然后有些人离开
[01:34:50] 那么这个事情是没有办法支撑你
[01:34:53] 长期的做一个重要的feature的
[01:34:55] 然后呢
[01:34:56] 另一方面就是这个法务上的问题
[01:35:00] 就是我们跟很多公司合作
[01:35:02] 是有一些这个保密性的
[01:35:03] 因为我们经常做很多
[01:35:05] 新模型发布之前的支持
[01:35:07] 包括新硬件发布之前的支持
[01:35:09] 那么在这个过程中呢
[01:35:10] 对方呢
[01:35:11] 法务经常会要求说
[01:35:12] 你需要有一个
[01:35:13] 我们叫NDA嘛
[01:35:14] 就是保密协议
[01:35:15] 对吧
[01:35:16] 那这个保密协议
[01:35:17] 谁来签
[01:35:18] 这是一个很尴尬的问题
[01:35:20] 因为开源社区
[01:35:21] 它不是一个实体
[01:35:23] 所以对方的法务经常就会说
[01:35:25] 你背后是哪些人在做这个事情
[01:35:28] 然后呢
[01:35:29] 他可能还会需要检查说
[01:35:31] 你这次来做的是这些人
[01:35:33] 下次来做的可能是另一些人
[01:35:35] 那么这些人里面
[01:35:36] 变动的人里面
[01:35:37] 有没有我的竞争对手
[01:35:38] 我是不是要对他进行
[01:35:39] 做一些背景调查
[01:35:41] 做一些背景调查
[01:35:41] 才能够允许他来接触这些信息
[01:35:43] 对吧
[01:35:44] 这些其实都是一个开源项目
[01:35:46] 没有办法完成的事情
[01:35:48] 然后呢
[01:35:49] 再包括除了人力资源之外
[01:35:52] 还有这个机器资源的问题
[01:35:54] 那么我们做大模型的
[01:35:55] 这个大规模部署
[01:35:56] 其实在24年的时候
[01:35:58] 这个事情为什么没有这么突出呢
[01:36:00] 因为那个时候模型还比较小
[01:36:01] 然后呢
[01:36:02] 你搞到一台机器
[01:36:03] 单机的单卡的
[01:36:05] 就可以做很多事情了
[01:36:06] 那么那个时候也有一些公司
[01:36:08] 这个比较热心慷慨的
[01:36:09] 给我们捐赠了一些机器
[01:36:11] 但是到了25年的时候
[01:36:13] 因为整个的这个规模上去了
[01:36:14] 我们要做的很多优化
[01:36:16] 都必须是集群级别的
[01:36:17] 那我要别人
[01:36:19] 给我一个集群的时候
[01:36:20] 就很困难了
[01:36:21] 就他给我一台机器
[01:36:22] 已经是顶天了
[01:36:24] 这是他能支持的最高的力度
[01:36:26] 然后呢
[01:36:26] 我们这个时候
[01:36:27] 为了做一些
[01:36:29] 这个集群级别的优化
[01:36:30] 我们就只能去各处乞讨
[01:36:32] 然后呢
[01:36:33] 我可能
[01:36:33] 我首先需要花一个月的时间
[01:36:35] 劝对方说
[01:36:36] 给我这些机器
[01:36:37] 然后呢
[01:36:38] 我拿到了这些机器之后
[01:36:40] 我需要马不停
[01:36:41] 停其的规划说
[01:36:42] 我今天要做这些事情
[01:36:43] 明天要做那些事情
[01:36:44] 因为可能我这些机器
[01:36:45] 一个月之后就到期了
[01:36:46] 然后呢
[01:36:47] 对方给我这些机器
[01:36:48] 也不是一个promised的事情
[01:36:50] 他们内部
[01:36:51] 如果有一些紧急项目
[01:36:52] 他是不是接下来
[01:36:53] 比如说
[01:36:54] 我一周里面
[01:36:55] 我135
[01:36:55] 我可能我要自己拿过来用
[01:36:57] 然后呢
[01:36:57] 246给你用
[01:36:58] 甚至可能紧急通知你说
[01:37:00] 接下来一个小时
[01:37:01] 我马上要用
[01:37:02] 对吧
[01:37:03] 所以这些事情就
[01:37:04] 给我们带来很大的阻碍
[01:37:05] 所以我们25年
[01:37:07] 其实我觉得说实话
[01:37:08] 我们做的不是很熟
[01:37:09] 那么这些事情
[01:37:10] 就导致了
[01:37:11] 我们已经很明确的看到
[01:37:12] 就是没有一个公司的支持
[01:37:14] 这个项目已经
[01:37:15] 无法继续往下发展
[01:37:16] 所以你们有点不得不
[01:37:18] 但你其实一直是
[01:37:19] 等着要创业的
[01:37:20] 对
[01:37:21] 整个项目的这个情况是
[01:37:23] 已经不得不需要
[01:37:25] 一个创业公司了
[01:37:26] 然后我是一直在
[01:37:28] 等着这个创业公司
[01:37:29] 所以我一直是在内部呼吁说
[01:37:31] 我会不停地说
[01:37:33] 你看我们现在
[01:37:34] 又遇到这个问题了
[01:37:35] 对方又找我们来签NDA了
[01:37:37] 我们现在签不了了
[01:37:38] 然后我们要是
[01:37:39] 有一个公司多好
[01:37:40] 然后我就在
[01:37:41] 在不停地说这样的话
[01:37:42] 然后最后
[01:37:43] 也是25年的时候
[01:37:44] 因为刚好大家都
[01:37:45] 那一年毕业
[01:37:47] 所以我们最后就说
[01:37:49] 那真的开个公司吧
[01:37:50] 你说这个时候
[01:37:51] Simon会怎么说
[01:37:52] Simon跟我是一样的看法
[01:37:55] 然后Wusuk
[01:37:56] Wusuk还在犹豫
[01:37:58] 最后他是怎么下定决心
[01:38:01] 他的下定决心
[01:38:02] 那个时刻对你们
[01:38:02] 这个公司的创立
[01:38:04] 有退波助澜的作用吗
[01:38:06] 对啊
[01:38:07] 就是他下定决心
[01:38:08] 就是我们
[01:38:09] 问他那个问题
[01:38:10] 对
[01:38:10] 我们找他
[01:38:11] 他就是逼宫了
[01:38:12] 就是说
[01:38:12] 你如果不做
[01:38:13] 我们自己做
[01:38:14] 然后呢
[01:38:15] 你自己想一想
[01:38:16] 如果你不来的话
[01:38:17] 导致我们项目失败
[01:38:18] 虽然你赚到了很多钱
[01:38:20] 但是你会不会快乐
[01:38:21] 然后
[01:38:22] 对
[01:38:23] 就他想了几天
[01:38:24] 然后最后回来了
[01:38:25] 他当场没有给出答复
[01:38:27] 对
[01:38:28] 我觉得这个问题
[01:38:29] 一旦问出来
[01:38:30] 是我们双方都需要
[01:38:31] 冷静一下的时候
[01:38:32] 那是几月份
[01:38:33] 去年
[01:38:33] 可能是
[01:38:35] 快到七八月份
[01:38:37] 八九月份的时候了吧
[01:38:38] 然后到年底
[01:38:40] 就开始成立公司了
[01:38:41] 对
[01:38:41] 就是我们
[01:38:42] 最终把他劝回来之后呢
[01:38:44] 我们还有各种流程要走
[01:38:45] 我们还要去找这个投资人
[01:38:47] 聊融资的一些事情
[01:38:49] 后面顺吗
[01:38:50] 比想象中
[01:38:50] 在面对你们觉得
[01:38:52] 可能自己最不擅长的
[01:38:53] 那一部分的时候
[01:38:54] 现实是怎么样
[01:38:56] 我觉得这部分
[01:38:57] 还是比较顺利的
[01:38:58] 就是因为
[01:39:00] 就是硅谷的VC
[01:39:02] 对我们整体是一个
[01:39:03] 期待已久的状态
[01:39:05] 就是
[01:39:05] 虽然我们决定成立公司
[01:39:09] 是在2025年的年底
[01:39:10] 嗯
[01:39:10] 但其实他们23年
[01:39:12] 24年的时候
[01:39:12] 就已经在跟我们接触了
[01:39:14] 而且那个时候
[01:39:15] 就已经在给我们这个
[01:39:18] 开源项目提供资金了
[01:39:19] 所以我觉得这里
[01:39:20] 可能可以重点讲一下
[01:39:22] 比如说像
[01:39:22] ACC
[01:39:23] 他们在23年的时候
[01:39:25] 就给VMW项目
[01:39:26] 提供了一笔资助
[01:39:28] 这个是资助
[01:39:29] 对这个是资助
[01:39:30] 是单纯资助
[01:39:31] 给开源项目发展
[01:39:32] 嗯
[01:39:32] 然后呢
[01:39:33] 这个钱金额会多吗
[01:39:34] 一般来说
[01:39:35] 当时应该是
[01:39:37] 几十万美元的级别
[01:39:38] 嗯
[01:39:39] 对
[01:39:40] 然后呢
[01:39:40] 这个像24年的时候
[01:39:43] 啊
[01:39:43] Sequoia和真格
[01:39:46] 啊
[01:39:46] 这两家也都给我们
[01:39:48] 这个以开源社区的形式
[01:39:49] 给我们捐赠了一笔钱
[01:39:51] 嗯
[01:39:51] 所以他们其实很早就注意到了我们
[01:39:54] 而且
[01:39:54] 也跟我们一样认可
[01:39:56] 就是VMW是一个很重要的项目
[01:39:58] 所以他们愿意投入一些早期的资源
[01:40:01] 来支持我们
[01:40:02] 啊
[01:40:02] 当然他们也是说
[01:40:03] 就是如果我们创业的话
[01:40:05] 那肯定是大力支持我们
[01:40:06] 嗯
[01:40:07] 所以
[01:40:07] 当我们这个最终把这个消息说
[01:40:10] 我们几个人最终决定要创业了
[01:40:12] 我们要有一家公司
[01:40:14] 啊
[01:40:14] 那这个时候我们再去找他们
[01:40:16] 找他们的时候
[01:40:16] 他们其实都比较爽快的说
[01:40:19] 其实我钱已经准备好了
[01:40:21] 啊
[01:40:21] 所以这个你们终于决定了
[01:40:23] 啊
[01:40:24] 对他们一直在等我们
[01:40:25] 其实
[01:40:25] 对
[01:40:26] 所以
[01:40:26] 啊
[01:40:26] 虽然这个我们种子轮融到的这个资金比较多吧
[01:40:30] 但整体上还是投资人在主动找我们要投资的阶段
[01:40:34] 啊
[01:40:34] 就是我们即使种子轮融完之后
[01:40:38] 直到现在其实也不停的有人在说啊
[01:40:40] 我这里有很多钱
[01:40:41] 我可以直接给你们就是
[01:40:43] 嗯
[01:40:43] 几千几千万美元的这个save都可以直接给你们
[01:40:46] 然后你们下一轮融资的时候把我们考虑进去
[01:40:48] 嗯
[01:40:49] 啊
[01:40:49] 但是我们现在还是一个谨慎乐观的态度吧
[01:40:52] 就是我们希望把这个融资和公司成长的速度相匹配
[01:40:57] 就是我们不是为了融资而融资
[01:40:59] 不是说现在有钱我就要去拿啊
[01:41:02] 更多是看我们这个公司现在发展到了什么阶段
[01:41:05] 然后需要把钱拿来做什么事情
[01:41:07] 嗯
[01:41:07] 然后再去看下一轮融资
[01:41:09] 你们应该是
[01:41:10] 全球来说AI Infra领域融资种子轮融资最多的一家是不是
[01:41:14] 啊
[01:41:15] 没有做过横向的这个历史的对比
[01:41:18] 但应该确实是比较大的吧
[01:41:20] 投资人为什么这么看好你们
[01:41:22] 啊
[01:41:23] 他们有说什么逻辑没有
[01:41:25] 核心还是我们在这个生态里面的地位
[01:41:29] 嗯
[01:41:29] 就是当你去看这个开源模型的生态的时候
[01:41:34] 每一个模型的发布背后都跟着VM的支持
[01:41:38] 每一个芯片厂商都会主动来支持我们
[01:41:40] 来靠近VM说他希望得到VM的支持
[01:41:43] 那么这背后的市场其实是一个多少B链的市场
[01:41:48] 嗯
[01:41:49] 所以其实给我们的投资相比于我们产生的价值来说
[01:41:53] 我觉得并不算多
[01:41:55] 其实市场也准备好了
[01:41:58] 然后客户也准备好了
[01:42:00] 但是就等你们几个人做决定
[01:42:02] 对就等我们要做这个事情
[01:42:05] 当然如果我们不做可能有其他人来做
[01:42:07] 但是不一定有我们这么好的站位
[01:42:10] 嗯
[01:42:10] 出来以后你没有说
[01:42:11] 我们应该更早出来就好了吗
[01:42:14] 因为其实融资比你们想象中可能容易很多
[01:42:17] 确实
[01:42:18] 但是这个可能就属于马后炮了
[01:42:21] 以及再往前面一些时间
[01:42:24] 其实我们也没有那么多时间
[01:42:27] 就是我们比如说在准备一些毕业什么的事情
[01:42:30] 然后也没有时间来做这些事情
[01:42:32] 所以更多是在像7月份我毕业了
[01:42:36] 然后呢秋季学期
[01:42:38] 这个Wusuk和Simon他们也都快毕业了
[01:42:40] 所以刚好是这么一个时间点吧
[01:42:43] 其实我已经是在不断的催促说
[01:42:46] 我们该创业了
[01:42:47] 你是为了创业去接的这个教职吗
[01:42:49] 对就是我是为了等他们创业而接的这个博士后
[01:42:54] 所以我一直在不断的催促说
[01:42:56] 我们应该创业了
[01:42:58] 再不创业又有一二三四五这么多条问题
[01:43:00] 你们几个人是怎么分工的呀现在
[01:43:02] 包括Young Stoic老师他扮演个什么样的角色
[01:43:06] Young Stoic老师是我们的这个创始人之一
[01:43:10] 然后呢他现在属于一个advisor的角色
[01:43:14] 就是一些重大的战略决定
[01:43:17] 我们都会问他
[01:43:18] 因为他有很多的创业的经验嘛
[01:43:21] 他包括他是Databricks的创始人
[01:43:23] 然后呢也做过像最近的这个LM Arena
[01:43:26] 所以他对整体的这个行业的水温都比较了解
[01:43:30] 所以他会给我们一些建议说
[01:43:33] 这个阶段这个公司我们现在该做什么事情了
[01:43:36] 接下来该做什么之类的
[01:43:37] 所以他给我们一些这个high level的
[01:43:40] 一些建议
[01:43:40] 然后呢我们主要创始人这个四个人里面呢
[01:43:46] 就是更多的还是就是有什么事做什么事吧
[01:43:50] 有技术的就做技术
[01:43:51] 然后有非技术的就做非技术
[01:43:53] 然后看谁有更好的context来handle这个事情
[01:43:58] 对比如说有一些公司原来是我对接的
[01:44:02] 那么对方再来找到对接那就我去出嘛
[01:44:04] 然后有一些事情原来是像WooSug在做的
[01:44:07] 那么现在这个事情需要继续往下推进
[01:44:10] 那么就他去做
[01:44:11] 所以我们就是我觉得我们四个还是比较
[01:44:15] 四位一体的状态
[01:44:18] 就我们四个人可能是同样的一个共享一个大脑
[01:44:21] 然后只是需要谁的时候谁出嘛
[01:44:24] 还是仁慈的独裁者嘛
[01:44:26] 对我们四个一起吧
[01:44:29] 还是仁慈独裁者
[01:44:31] 对
[01:44:32] 然后因为我们四个人做的事情没有那么多overlap
[01:44:36] 就是各自有各自的这个往之前负责的一些东西
[01:44:40] 对我们四个人做的事情没有那么多overlap就是各自有各自的这个往之前负责的一些东西
[01:44:40] 所以说肯定就是这个方向
[01:44:42] 如果是你负责的
[01:44:44] 然后你又意见比较坚定的话
[01:44:46] 那你就做就好了
[01:44:47] 大家都支持你
[01:44:48] 这开源项目商业化之后会
[01:44:50] 就是社区对于公司infraact的态度会不会有一些变化呀
[01:44:55] 它会损失一些社区的信任感吗
[01:44:57] 我觉得没有
[01:45:00] 就是这个事情对于社区来说是一个好事
[01:45:03] 因为他们其实也都在期盼着我们开公司
[01:45:06] 就像刚才说的我们跟很多合作伙伴合作对吧
[01:45:09] 那么对方想要我们签字
[01:45:10] 签保密协议
[01:45:11] 那没有公司的话签不了
[01:45:12] 有公司了之后我们可以跟对方签保密协议了
[01:45:15] 他们的法务也很开心
[01:45:17] 然后呢
[01:45:17] 还有就是有些公司
[01:45:19] 就刚才说到的一些算力的问题对吧
[01:45:22] 那我们之前合作的时候经常会对对方说
[01:45:25] 我们合作一起做这个事情
[01:45:27] 你能不能给我们一些算力支持
[01:45:28] 那对方也很尴尬
[01:45:30] 就是因为公司里面的算力都在公司内部
[01:45:32] 他很难给我们公司外部的人支持
[01:45:35] 那最多就是
[01:45:36] 可能像刚才说到的
[01:45:37] 有一些公司给我们提供一些资金的支持
[01:45:39] 那最多就是
[01:45:40] 但是呢我们要去买
[01:45:41] 比如说这个资金
[01:45:43] 放在谁的口袋里都是一个问题
[01:45:45] 对吧
[01:45:46] 我们不能直接放在个人的口袋里
[01:45:47] 然后呢你去买一些东西的时候
[01:45:50] 比如说买算力的时候
[01:45:51] 那对方可能也会要求这个一些资质的证明
[01:45:54] 你是不是一家合格的公司
[01:45:56] 对吧
[01:45:56] 所以说这些东西
[01:45:58] 其实在我们成立公司之后
[01:46:00] 都得到了很大的缓解
[01:46:01] 而且我们有了公司
[01:46:04] 有了人力资源的支持
[01:46:06] 有了硬件资源的支持
[01:46:07] 我们可以把很多原来做不好的事情
[01:46:09] 做得更好
[01:46:10] 那比如说我们可以招聘更多的人
[01:46:12] 来支持为我们项目的发展
[01:46:14] 然后呢我们也可以有更多的机器的资源
[01:46:16] 来验证我们原来验证不了的事情
[01:46:18] 所以呢整体上来说
[01:46:20] 对社区来说是一个非常大的促进
[01:46:22] 那社区对于一个开源项目的这个意见
[01:46:26] 它并不是说
[01:46:27] 它能够在这个项目里面
[01:46:29] 能够写多少代码
[01:46:30] 或者说
[01:46:30] 它在社区里面说话有多少人听
[01:46:33] 更多的是说
[01:46:34] 这个项目能不能给它带来一些收益
[01:46:36] 比如说新模型发布的时候
[01:46:37] 这个项目是不是又能够支持了
[01:46:40] 然后新硬件发布的时候
[01:46:41] 这个项目是不是又能够支持了
[01:46:43] 然后一些新模型
[01:46:44] 这个特性
[01:46:45] 新的推理引擎特性发布的时候
[01:46:47] 这个社区是不是又能够支持了
[01:46:49] 所以他们更多是一个
[01:46:50] 从用户的角度来看这个事情
[01:46:52] 那么我们公司的成立
[01:46:54] 对为我们项目的发展
[01:46:56] 尤其是对用户来说
[01:46:58] 是一个很好的事情
[01:46:58] 因为这个项目现在更有保证了
[01:47:00] 然后呢各方面的
[01:47:02] 也发展的越来越好了
[01:47:03] 所以他们都是非常支持
[01:47:04] 我们做这个事情的
[01:47:05] 如果当商业客户和社区的需求
[01:47:08] 发生冲突的时候
[01:47:09] 你们会选什么
[01:47:10] 我们不接这样的商业客户
[01:47:13] 我们现在是供少于求的状态
[01:47:15] 就是我们能支撑的商业客户
[01:47:17] 远远小于想跟我们
[01:47:20] 做商业合作的客户
[01:47:21] 所以我们可以非常爽快地
[01:47:23] 拒绝掉我们不想做的事情
[01:47:25] 所以我们目前做的事情
[01:47:26] 都是跟社区发展一致的事情
[01:47:28] 最终还是你们四个
[01:47:30] 作为一个决策者
[01:47:31] 主要是我们四个
[01:47:32] 在公司里面决策
[01:47:34] 那PyTorch基金会
[01:47:35] 现在跟这个公司
[01:47:36] 是什么样的一个关系
[01:47:37] PyTorch基金会
[01:47:38] 就是它在我们
[01:47:40] 项目的日常的管理过程中
[01:47:42] 就是它不参与技术管理
[01:47:43] 所以我们目前主要是
[01:47:45] 可能每一个季度
[01:47:46] 会向PyTorch基金会
[01:47:48] 汇报一下这个项目做了什么
[01:47:50] 然后呢
[01:47:51] 其他的没有很多别的了
[01:47:53] 它只是一个象征性的意义
[01:47:56] 我感觉
[01:47:57] 对
[01:47:57] 它作为一个持续的
[01:47:58] 开源项目来存在
[01:47:59] 对
[01:47:59] 就是它是那一道保险杠
[01:48:00] 保证这个项目
[01:48:02] 它不会避援
[01:48:03] 对
[01:48:04] 然后具体的技术
[01:48:05] 都是我们自己在做
[01:48:06] 你们对开源避援
[01:48:07] 这个问题上
[01:48:07] 没有过争议
[01:48:08] 或者是犹豫对吗
[01:48:10] 没有
[01:48:11] 因为如果我们想做避援的话
[01:48:12] 我们就可以自己
[01:48:13] 去找家公司做了
[01:48:14] 就是我们觉得
[01:48:17] 这个开源推力引擎
[01:48:18] 它是很重要的事情
[01:48:19] 而且需要坚持下去
[01:48:21] 你们公司为什么叫Inferact
[01:48:23] 对
[01:48:25] 这个起名字
[01:48:26] 是一个相当困难的事情
[01:48:28] 我们为此讨论了好几天
[01:48:29] 然后最后取名Inferact
[01:48:32] 也是因为我们公司
[01:48:35] 主要做的事情
[01:48:36] 是想做Inference
[01:48:37] 所以就有一个Inference
[01:48:39] 在里面
[01:48:40] 然后配套了一个
[01:48:42] 我们希望是
[01:48:43] Bring Inference into Action
[01:48:45] 就是把推理做到行动里面
[01:48:48] 让它真正的跑起来
[01:48:49] 所以最后起了
[01:48:51] Inferact的名字
[01:48:52] 你们认为这个公司
[01:48:54] 十年后会怎么样
[01:48:55] 你们的愿景和目标是什么
[01:48:58] 十年后
[01:48:59] 这是一个相当长的时间了
[01:49:01] 我们已经很难预测
[01:49:03] AI会发展到一个
[01:49:04] 什么样的程度
[01:49:05] 但我们的预期就是
[01:49:08] Inferact希望能把
[01:49:09] 大伙伴的公司
[01:49:10] 大模型推理这件事情
[01:49:11] 做到一个基本解决的状态
[01:49:13] 就是
[01:49:14] 大家想起推理
[01:49:17] 就会想起VLM
[01:49:18] 然后想起Inferact
[01:49:20] 那商业模式会是什么样
[01:49:21] 商业模式的话
[01:49:24] 我们整体还是
[01:49:25] 就是围绕大模型推理技术
[01:49:27] 和VLM的生态
[01:49:29] 然后一边建设VLM的生态系统
[01:49:32] 一边去做商业化
[01:49:33] 所以我们在探索
[01:49:35] 好几种商业模式
[01:49:36] 比如说
[01:49:37] 我们公司可以有机器
[01:49:40] 然后有软件
[01:49:41] 我们最后就给大家提供一个
[01:49:42] 叫做Endpoint Service
[01:49:44] 就是对方只需要
[01:49:45] 直接从我们这里
[01:49:46] 用Token就可以了
[01:49:47] 我们也可以再探索一些
[01:49:49] 像我们叫做BYOC的模式
[01:49:51] 就是你可以客户有机器
[01:49:53] 然后我们提供软件
[01:49:55] 然后我们产生Token
[01:49:56] 可能是给你内部自己用
[01:49:58] 然后也可以是一些
[01:50:00] 纯生态合作伙伴
[01:50:01] 类似的探索性质的
[01:50:03] 就我们跟一些战略性的客户
[01:50:05] 一起去探索
[01:50:06] 怎么把VLM的生态建立得更好
[01:50:09] 这方面也可以是一些
[01:50:10] 可以有一些商业合作的机会
[01:50:11] 整体上来说
[01:50:13] 我觉得就是我们希望做到一个
[01:50:15] 按量收费的状态
[01:50:17] 就是我们不是技术外包
[01:50:19] 我们不是在售卖
[01:50:21] 我们工程师的时间
[01:50:22] 我们产生的价值
[01:50:23] 取决于我们为你
[01:50:25] 多产生了多少Token
[01:50:26] 为你的这些机器
[01:50:28] 又节省了多少成本
[01:50:30] 所以这个是我们一个
[01:50:31] 整体的逻辑
[01:50:32] 现在公司多少人
[01:50:33] 我们现在公司大概
[01:50:36] 30多人吧
[01:50:37] 接近应该快到40了
[01:50:39] 我们还在持续
[01:50:40] 在从一个像社团的一个组织
[01:50:43] 变成公司这样的组织的过程中
[01:50:45] 你们有没有什么感受
[01:50:47] 或者know how可以借鉴
[01:50:49] 我觉得
[01:50:52] 公司确实还是
[01:50:54] 挺不一样的
[01:50:55] 我们之前在做开源社区的时候
[01:50:58] 一个很困难的事情
[01:51:00] 就是你没有办法从上到下的
[01:51:02] 去强制
[01:51:03] 推进一些事情
[01:51:04] 就是你没有办法去规划
[01:51:06] 因为这些参与的同学
[01:51:09] 他们都可能有
[01:51:10] 自己的工作
[01:51:10] 所以他们不是全职在做这个事情的
[01:51:12] 他们可能内部有一些其他的
[01:51:14] 比如说紧急的事情
[01:51:15] 那么今天就来不了了
[01:51:16] 所以我们只能是一个
[01:51:19] Best Effort
[01:51:20] 或者是一个许愿的状态
[01:51:22] 就是我求求大家
[01:51:23] 这个这周把这个做完吧
[01:51:25] 对吧
[01:51:26] 然后呢
[01:51:26] 现在我们有了公司了
[01:51:28] 就是这些同学都是我们的全职员工了
[01:51:30] 对吧
[01:51:30] 然后我们也有专门的资源
[01:51:31] 可以去推荐这些事情了
[01:51:33] 那么我们可以引入更多的计划
[01:51:35] 我们说我们这个季度
[01:51:36] 要完成什么事情
[01:51:38] 然后呢
[01:51:38] 分给这个小组
[01:51:39] 你这个小组
[01:51:40] 你接下来这一周
[01:51:41] 应该要做什么事情
[01:51:41] 就是我们可以有更多的计划
[01:51:43] 那你们几个人的关系
[01:51:46] 有没有发生什么样的变化
[01:51:47] 就是我们几个创始人之间
[01:51:50] 都是
[01:51:50] 就是每天都会同步一下
[01:51:53] 一些相关的事情
[01:51:54] 所以我觉得关系
[01:51:56] 应该还是更紧密了
[01:51:57] 就相比于之前开源社区的时候
[01:51:59] 大家可能
[01:52:00] 像同学
[01:52:00] 对
[01:52:01] 然后开源社区的时候
[01:52:03] 可能沟通还没有这么紧密
[01:52:04] 因为那个时候可能
[01:52:05] 大家都是松散的
[01:52:07] 组织在一起的状态
[01:52:08] 然后现在大家是
[01:52:10] 为了共同的一个目标去奋斗
[01:52:12] 然后大家可能都需要看
[01:52:14] 这公司里面发生了什么事情
[01:52:15] 然后大家需要一起来解决
[01:52:17] Infraact这个公司
[01:52:20] 今年的一些规划会是什么
[01:52:22] 今年的规划
[01:52:25] 我觉得目前还是在聚焦
[01:52:28] 这个开源大模型推理的生态方面
[01:52:31] 那么包括
[01:52:33] 接下来即将要发布的
[01:52:34] 一些下一代的这个推理引擎
[01:52:37] 包括这个下一代的模型
[01:52:40] 下一代的硬件
[01:52:41] 怎么样做到更好的这个推理
[01:52:44] 然后包括针对下一代的这个负载
[01:52:47] 就是大家怎么去用这个token的
[01:52:50] 这些东西
[01:52:51] 我觉得我们需要
[01:52:53] 用开源的VM给出一份满意的答案
[01:52:56] 好 上面我们回溯了你的研究历程
